Gene,T-Value for Class JPA
U79294_at,21.1914175248
M16447_at,20.7177296484
D25304_at,19.4089165743
D13631_s_at,19.3689745274
M93426_at,19.3170349309
U51336_at,18.8279557905
D87470_at,18.4828377722
L08895_at,17.5981815504
X61587_at,17.4649403771
U90916_at,17.0191086911
X60188_at,16.8591093864
U48705_rna1_s_at,16.4524924408
U83463_at,16.1935699628
U32331_at,16.1002600314
U24266_at,15.9735525441
X03663_at,15.8949095281
U32114_at,15.5851765264
U90552_s_at,15.5550879992
U47101_at,14.9976178562
U52828_s_at,14.9542474198
J04543_at,14.8293385791
M84349_at,14.5789168087
U73379_at,14.3298517998
X84195_at,14.2236131775
D31767_at,14.2151318854
X78706_at,13.9777074637
M94151_at,13.9758366911
X14813_at,13.8972851308
D63506_at,13.8969963794
X04828_at,13.8832545922
M59488_at,13.8011880612
J03060_at,13.6039295302
M63838_s_at,13.5334662881
M36067_at,13.4802874943
L36818_at,13.3702105331
U69140_s_at,13.2625872975
U08191_s_at,13.2096066828
U60060_at,13.0685899992
U34962_at,13.0034918747
D16481_at,12.812115583
U45955_at,12.7381864147
L20971_at,12.7164192675
J04088_at,12.5622201053
M23254_at,12.5222689308
X92396_at,12.3162841176
U01038_at,12.2286552809
X84740_at,12.1984904945
X62744_at,12.1678144924
M13560_s_at,12.1146216437
M32313_at,12.0368662055
L07541_at,12.0215858781
X13293_at,12.0174762652
U60975_at,11.9932694745
M15395_at,11.9765864269
M62302_at,11.9331156742
M74491_at,11.9292343378
L37362_at,11.9246650738
U31383_at,11.8676736152
J05249_at,11.844360915
X75861_at,11.7950049665
U44111_at,11.7135435053
D87127_at,11.6450419008
M75099_at,11.626755318
S79873_s_at,11.6061720996
U02556_at,11.6004759749
U97105_at,11.5637316506
M58525_s_at,11.5438129775
Z50022_at,11.4315025528
X67155_at,11.3945537765
S69272_s_at,11.3851566572
S72008_at,11.3787327319
U01691_s_at,11.3649390336
X59812_at,11.3100979479
D87445_at,11.2929018802
M89955_at,11.2606315086
U59877_s_at,11.2459550549
U24183_s_at,11.2141064373
U43923_at,11.1667845365
U43944_at,11.1424218374
S82447_s_at,11.1346077982
U18932_at,11.1183756984
U81556_at,11.0371169819
X51405_at,11.0342522465
U96136_at,11.0287772887
U90911_at,11.0220235776
X68733_rna1_at,11.0154246264
X79353_at,11.007937056
D80008_at,10.9813373947
U49857_at,10.9628943431
U67171_at,10.9547237122
U14603_at,10.9317348745
M55422_at,10.8928332344
U00921_at,10.8893600372
X62654_rna1_at,10.8652527586
X79882_at,10.8567238002
Z22551_at,10.8142337484
V00599_s_at,10.7855737229
U27831_at,10.7724524831
U18271_cds1_at,10.766357946
J04430_s_at,10.734548958
M34458_rna1_s_at,10.7221432596
M61764_at,10.6504079634
D16581_at,10.6409136767
M25753_at,10.6398167075
U02566_s_at,10.5790965699
M11313_s_at,10.5269191462
L10413_at,10.4977774131
J04182_at,10.4777759575
X58521_at,10.4776749139
D87465_at,10.4588091208
X96783_rna1_at,10.4416498671
M37721_at,10.4335852249
U12255_at,10.4238855915
U44772_at,10.4062991154
X95826_at,10.3986639602
X04297_at,10.3968745066
S82470_at,10.3735079429
D86985_at,10.3723312554
M57399_at,10.3516203281
HG4535-HT4940_s_at,10.345781543
U51240_at,10.32129111
Y13247_at,10.3073404874
M20867_s_at,10.3029432861
U40038_at,10.2886471041
D90086_at,10.2781482116
M87313_s_at,10.2599409498
U21049_at,10.2571275374
U06681_at,10.2127365332
U30999_at,10.2061275797
X00274_at,10.190346563
L33930_s_at,10.162735669
U34877_at,10.1534538996
D82344_at,10.112076793
Y13115_at,10.1043920103
U49020_cds2_s_at,10.0637177905
D84557_at,10.0560742711
U30872_at,10.0215712454
M94046_at,10.0125699591
U46901_at,10.0107460967
X75756_at,10.0096642199
U09411_at,9.98711410698
M68520_at,9.98002722227
D14658_at,9.97903018346
L14837_at,9.95460326559
Y09216_at,9.94545592492
K03430_at,9.94355313183
X78338_at,9.93801740562
U79285_at,9.92103273755
U29343_at,9.91161195674
M25322_at,9.90746184781
D87443_at,9.90040673212
L19783_at,9.89685330423
X64072_s_at,9.8635446551
U74612_at,9.85126350362
M14091_at,9.83967178758
HG3636-HT3846_at,9.8386012999
X57346_at,9.83756071408
X12953_at,9.83019088839
HG2915-HT3059_f_at,9.77746005377
L31801_at,9.77319885424
X74794_at,9.7588765969
X55740_at,9.7512393119
