Gene,T-Value for Class MGL
M88108_at,14.0625486266
U79287_at,13.9312725829
X00371_rna1_at,13.1368973343
M60784_s_at,12.3830166507
X13546_rna1_at,12.2543834709
V01515_cds1_at,12.1455389952
M31520_rna1_s_at,12.1403600839
U29175_at,12.130479399
M20137_at,12.045418259
D85815_at,11.8609170953
L43631_at,11.8422138563
HG884-HT884_s_at,11.7792423555
U35113_at,11.7534696346
U17760_rna1_at,11.6302089845
U18291_at,11.5874344325
D50525_at,11.563759209
X14684_s_at,11.5123647315
X60787_s_at,11.4576082538
M94630_at,11.450846706
M86667_at,11.4353766894
U70322_at,11.3478993157
U30827_s_at,11.3258322783
U09564_at,11.1446649816
X79234_at,11.1010727041
D21852_at,11.0225365377
L76159_at,10.9490884042
M23613_at,10.8477803595
U53209_at,10.8003296095
X66397_at,10.7995396904
U49957_s_at,10.7101335083
X85373_at,10.6593633052
X04347_s_at,10.658660831
M14483_rna1_s_at,10.6338890075
X75962_at,10.5976157651
X66113_s_at,10.5732665027
U32519_at,10.4842957131
U45328_s_at,10.4702383698
X68560_at,10.4502086885
HG2815-HT2931_s_at,10.4147850245
U73477_s_at,10.4023018669
L05425_at,10.3705315788
L25270_at,10.3362261752
L40027_at,10.3153348928
M83308_at,10.2381743158
L41887_rna1_at,10.2342697292
X52011_at,10.2292185719
U21090_at,10.1880140682
U67122_s_at,10.1747662963
D83032_at,10.1664768498
X03066_at,10.1481423572
U30521_at,10.1380063496
S78771_s_at,10.1374319709
M54968_at,10.1099550438
U70321_at,10.0960434758
U03851_at,10.0524717651
D55716_at,10.0406118188
D42054_at,10.0060297045
L36463_at,9.97510984857
X63563_at,9.9645027066
D43947_at,9.95801664025
M73047_at,9.95170762188
M15661_at,9.94962043711
D26362_at,9.94509882688
U81554_at,9.92455222242
U61397_s_at,9.88385754449
L43338_at,9.88183852016
U77718_at,9.86201012653
L41351_at,9.84343072428
S82597_rna1_s_at,9.80647245579
U14968_at,9.77742883677
HG4490-HT4876_f_at,9.73881814738
U80184_rna1_at,9.70810194474
HG662-HT662_at,9.65636498426
U78551_at,9.59448996794
Y00281_at,9.57553407468
U58046_s_at,9.56375846212
D86978_at,9.55493035051
L42354_at,9.55476848623
X82103_at,9.55245411145
U05040_at,9.52587440667
Z25535_at,9.49644931545
X75091_s_at,9.47509651378
S80343_at,9.47026116975
M84424_at,9.45032648307
U95040_at,9.44002098275
X62691_at,9.39235405663
U31930_at,9.38264511387
M31211_s_at,9.36185410395
U12404_at,9.35655978703
M86752_at,9.35636790184
U09477_at,9.32500871553
HG3286-HT3463_at,9.31119660325
L49380_at,9.30231486024
U69126_s_at,9.296015848
X67247_rna1_at,9.29378328307
X14329_at,9.28235773904
D50912_at,9.23475459943
X07315_at,9.21914244004
L76702_at,9.20972863706
M31303_rna1_at,9.20906760549
U50939_at,9.20598870816
U17989_at,9.19918912704
U79267_at,9.1855329677
X76013_at,9.17361112598
L06505_at,9.17043572809
X52425_at,9.12194124102
HG4541-HT4946_s_at,9.12036903963
U25435_at,9.11240777748
U76421_at,9.08270604071
D87450_at,9.04965799057
X57152_rna1_s_at,9.03878437955
D80001_at,9.00797258918
J02621_s_at,9.00053981059
U61981_at,8.99475956566
X56932_at,8.99209949964
D17716_at,8.9835508142
U15782_at,8.97427460265
Z23064_at,8.94638985647
D16480_at,8.93623520597
D76435_at,8.93199822556
U24169_at,8.93019850842
U59632_s_at,8.92214791594
M31642_at,8.9000682106
HG881-HT881_at,8.89979497779
U79259_at,8.8957240792
U45878_s_at,8.89236137381
X96401_at,8.88709074259
M33764_at,8.88682863235
U76189_at,8.88460897456
L34355_at,8.88137750664
Z15115_at,8.82780414771
Z48042_at,8.8268036577
D80009_at,8.82432387944
X87613_at,8.82178030534
J05500_at,8.81182361016
M81757_at,8.7954084492
S83362_s_at,8.79253674956
M74099_at,8.76374257841
U31814_at,8.75045987714
U07806_s_at,8.74771263374
D63875_at,8.73464043265
D28118_at,8.73432076664
D87685_at,8.71486147941
M60858_rna1_at,8.70492551456
X52882_at,8.70242486402
J03592_at,8.70031038924
U94855_at,8.69847279834
U23803_at,8.69829851591
HG311-HT311_at,8.68440298717
D38521_at,8.67600314465
D29677_at,8.65064424515
X53390_s_at,8.64482536528
U25849_at,8.64383858245
U63336_at,8.64343145083
X06617_at,8.6345789011
U15552_at,8.63268319118
L05628_s_at,8.61606984765
D87023_cds2_at,8.6091287775
HG1804-HT1829_at,8.59851881161
M31899_at,8.57413474595
Z37166_at,8.5713471794
X07730_at,8.56863413368
U52077_s_at,8.56279921187
D13627_at,8.55555749118
D86550_at,8.55131681567
X62534_s_at,8.53967791409
L20010_at,8.53515685889
U33818_at,8.52974372945
Z83735_at,8.52844992283
U52155_at,8.520159394
X86691_at,8.51394281264
M96982_at,8.5126222286
L04483_s_at,8.51255825091
U67092_s_at,8.50724116428
K03207_f_at,8.49719687047
L38707_at,8.49588757516
U35451_at,8.47337060602
U89505_at,8.46684526796
X51688_at,8.45412111168
M30448_s_at,8.45284655238
AB002533_at,8.43132571409
U51990_at,8.41348119395
U78027_rna3_at,8.3962047644
U14971_at,8.38233829736
U65579_at,8.37656265751
L13258_at,8.37302623525
U64315_s_at,8.36906757407
