@relation pp5i_train.top10.gr

@attribute D42041_at numeric
@attribute D50310_at numeric
@attribute D79992_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3255-HT3432_at numeric
@attribute J03191_at numeric
@attribute L36818_at numeric
@attribute L39064_rna1_at numeric
@attribute M14091_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M65254_at numeric
@attribute M86528_at numeric
@attribute M88108_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute M97287_at numeric
@attribute S82470_at numeric
@attribute U16954_at numeric
@attribute U33429_at numeric
@attribute U35340_at numeric
@attribute U51336_at numeric
@attribute U79248_at numeric
@attribute U79262_at numeric
@attribute U79271_at numeric
@attribute U79287_at numeric
@attribute U79294_at numeric
@attribute U90916_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X13546_rna1_at numeric
@attribute X61587_at numeric
@attribute Z48950_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute D83646_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute L10377_s_at numeric
@attribute D63940_s_at numeric
@attribute M31520_rna1_s_at numeric
@attribute M57464_s_at numeric
@attribute HG880-HT880_s_at numeric
@attribute M60784_s_at numeric
@attribute U09087_s_at numeric
@attribute HG3636-HT3846_at numeric
@attribute U29175_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
178,989,80,592,175,84,49,338,105,140,48,89,117,724,146,23,588,628,20,482,66,931,31,205,492,47,179,131,531,99,51,29,29,960,79,714,160,270,37,43,21,66,56,1184,293,28,311,75,73,240,MED
103,1120,82,317,155,151,33,198,60,130,28,88,75,579,170,20,516,760,81,645,69,845,24,163,419,60,192,203,533,150,20,23,20,734,69,952,172,250,29,47,54,40,130,861,192,79,255,59,59,213,MED
182,1232,140,387,155,166,27,197,25,124,42,106,68,608,124,20,653,596,85,522,71,1107,21,137,238,66,215,297,682,86,20,25,20,966,57,1363,184,140,30,20,20,37,76,549,73,88,148,62,62,367,MED
249,1132,134,312,136,106,28,365,55,97,31,78,101,619,135,22,522,825,40,371,74,1187,21,125,268,53,187,123,509,113,54,21,28,912,69,1068,164,167,27,45,31,62,52,805,111,36,242,88,83,358,MED
200,1030,145,370,155,88,37,195,40,122,39,75,83,676,133,20,503,536,205,339,93,969,23,136,214,61,263,159,700,114,20,20,33,820,66,1467,157,141,29,20,20,69,56,506,32,105,130,65,81,373,MED
191,814,115,278,134,169,30,73,34,111,37,102,24,651,120,20,632,471,71,409,99,1172,31,122,200,62,233,244,685,87,20,22,41,946,58,1536,158,120,23,25,20,64,76,533,38,73,165,84,71,367,MED
128,703,103,281,143,83,44,64,61,146,44,52,99,751,163,20,565,165,97,347,85,1010,32,165,252,50,252,168,503,158,20,35,22,845,42,1214,186,110,26,20,20,56,43,535,52,87,100,67,61,345,MED
118,1034,103,197,337,44,71,130,32,226,49,20,143,243,294,48,253,396,20,314,101,588,39,294,228,47,173,49,243,128,23,50,39,385,50,654,184,77,75,20,20,95,60,310,161,84,141,105,159,79,MED
104,1321,107,199,377,86,87,96,20,259,55,30,93,927,244,43,192,192,22,162,35,928,37,263,199,54,200,64,454,141,22,43,42,435,42,1346,124,56,70,24,20,103,81,138,108,45,66,66,135,231,MED
116,716,112,291,344,35,79,269,31,247,66,35,165,927,237,55,271,213,28,110,110,469,20,341,277,32,154,61,423,124,20,51,41,603,32,468,159,109,68,20,20,97,52,561,315,20,206,64,126,87,MED
76,745,80,68,333,20,46,20,20,172,82,34,121,606,206,56,173,169,40,200,65,579,20,298,173,38,170,72,168,77,20,45,44,205,20,667,56,76,89,20,20,103,61,349,331,20,37,35,127,51,MED
94,956,111,320,334,70,61,133,20,250,58,44,149,871,300,45,326,536,25,172,20,1237,48,286,240,21,299,37,506,88,20,46,53,548,40,1018,154,26,62,20,20,132,32,252,57,93,93,61,139,254,MED
90,984,82,314,260,41,119,90,20,159,56,45,102,1066,248,50,354,459,84,215,20,812,25,282,254,39,298,32,531,134,20,24,32,585,20,829,127,20,45,20,20,91,55,529,131,25,36,55,104,228,MED
132,1307,81,157,304,20,47,135,20,216,73,24,105,568,215,59,332,128,35,462,20,649,20,314,207,50,261,113,543,183,20,39,64,503,20,1242,85,27,58,20,20,115,105,371,123,20,111,68,106,113,MED
195,571,72,55,292,51,55,878,109,166,42,32,123,466,161,41,373,20,30,93,113,70,20,219,207,27,131,34,580,170,20,32,46,521,74,477,64,62,51,20,20,77,41,412,231,20,197,83,106,371,MED
165,2082,111,307,254,55,65,223,30,191,63,42,160,746,251,32,631,701,20,466,20,1032,63,243,302,59,215,205,443,111,20,22,38,386,32,672,396,87,85,20,20,68,168,812,277,65,283,90,109,203,MED
198,838,98,321,224,70,62,365,95,144,44,38,112,472,167,40,401,686,20,328,98,880,48,227,462,43,142,63,246,137,20,35,39,615,94,915,167,212,63,81,34,83,61,454,176,82,147,87,111,138,MED
170,1132,81,322,190,55,46,367,48,143,40,47,86,581,183,32,437,923,22,252,129,984,49,191,446,56,171,84,532,100,20,36,37,550,78,858,185,197,57,20,20,103,76,449,186,100,266,69,103,345,MED
200,1434,93,235,197,76,50,181,54,188,51,57,121,604,163,37,353,409,76,596,99,1159,50,188,262,56,185,180,484,131,20,38,43,662,65,1469,166,120,42,20,20,105,96,293,119,97,180,104,52,233,MED
99,1479,100,296,267,52,74,305,24,189,51,34,80,908,212,44,505,899,46,276,20,1108,27,241,216,46,178,204,585,173,29,38,34,471,57,993,178,66,56,20,20,117,126,412,188,59,234,60,131,222,MED
113,1182,100,270,260,71,56,219,52,187,55,24,114,699,241,40,398,233,226,518,55,740,46,182,296,53,222,82,421,172,20,25,39,696,46,1819,183,85,42,20,28,100,53,167,67,59,94,113,95,267,MED
90,957,78,278,297,40,77,28,22,199,36,29,97,964,210,60,444,597,22,204,20,1443,45,205,192,42,315,67,732,83,20,51,51,479,20,1174,215,35,68,20,20,167,46,220,99,63,110,109,107,230,MED
72,1008,86,349,285,39,73,20,33,186,44,32,117,732,178,41,375,1000,45,183,20,808,40,252,199,71,120,82,342,391,20,45,42,333,20,1290,140,66,79,20,20,117,99,406,73,155,167,109,83,87,MED
105,435,136,169,265,65,80,20,20,192,90,33,86,830,221,66,268,174,42,136,20,945,20,356,79,73,101,63,306,297,20,43,20,246,20,1490,90,20,119,20,20,200,80,57,25,148,140,121,126,88,MED
94,569,109,415,249,20,73,113,30,186,51,20,106,1093,205,70,356,201,105,235,124,861,30,274,143,31,152,62,290,20,20,20,20,290,20,2127,139,20,88,20,20,140,41,104,22,91,139,66,98,169,MED
257,831,97,173,190,100,48,122,59,168,54,75,140,515,173,32,447,686,166,293,100,981,34,165,169,67,259,174,518,85,20,42,48,817,53,1310,278,111,41,20,20,107,62,286,77,101,141,28,134,210,MED
66,1030,42,65,253,32,67,274,27,244,66,42,147,634,227,37,200,126,43,128,25,378,40,239,275,32,186,88,576,170,20,45,26,299,40,505,109,205,71,34,20,87,87,1131,690,49,403,31,150,247,MED
205,927,99,224,247,58,55,176,69,170,65,36,148,534,170,45,311,582,25,259,54,626,37,273,212,41,219,83,361,102,20,45,52,717,68,675,152,233,63,20,20,84,117,622,287,121,172,70,121,134,MED
108,996,110,387,274,104,76,237,36,205,55,40,113,830,239,40,515,534,114,457,52,1102,29,170,152,50,196,105,385,104,20,28,44,807,75,2181,193,84,54,20,20,72,79,113,96,79,69,64,114,346,MED
273,713,69,183,263,76,60,155,72,183,61,48,133,467,262,34,304,481,20,262,89,387,33,242,124,46,111,36,217,160,20,52,40,312,34,810,160,136,49,20,20,78,104,220,130,147,68,52,72,152,MED
84,982,97,100,244,20,70,20,20,149,37,20,139,1106,207,43,306,133,88,96,20,682,55,376,84,49,147,22,256,379,20,20,26,409,20,2155,162,47,73,20,36,118,52,137,26,150,92,74,67,158,MED
115,799,134,198,277,60,60,51,54,155,52,35,98,842,259,54,346,116,49,95,120,747,54,261,167,53,137,285,274,74,20,61,47,437,20,1888,114,22,73,20,20,103,46,109,20,83,116,42,116,193,MED
221,1669,84,300,232,60,66,309,102,178,69,83,132,573,135,32,572,124,23,195,84,407,40,195,331,34,189,148,254,114,20,46,42,1056,68,1115,216,176,37,20,20,50,81,579,308,20,169,47,148,252,MED
113,883,45,418,273,67,84,112,45,172,84,44,83,576,197,72,218,554,20,310,67,699,55,274,168,41,148,56,254,109,20,26,64,355,74,730,149,214,67,20,20,107,94,758,268,111,134,39,106,43,MED
197,1243,97,320,229,92,61,106,90,160,60,89,126,696,128,44,480,1060,122,265,83,874,58,237,254,58,204,106,288,200,44,49,59,1107,64,1253,191,191,51,20,20,85,129,839,262,50,159,39,94,169,MED
148,1463,80,385,203,47,53,196,64,148,57,70,88,791,233,26,359,1142,20,205,69,872,28,228,329,58,208,97,558,86,21,43,40,904,59,1170,122,180,42,20,20,80,122,895,210,64,182,72,122,180,MED
277,848,107,353,226,47,58,309,63,152,50,97,102,631,168,36,357,577,20,376,62,848,45,216,238,55,185,90,465,92,20,42,42,841,75,832,210,153,59,20,20,93,48,390,175,60,196,138,105,126,MED
137,1087,75,159,216,141,62,20,59,224,52,69,117,819,189,40,463,773,87,575,76,1069,50,174,156,49,171,230,345,129,20,41,44,843,64,2168,222,98,61,59,20,85,130,124,41,133,71,38,117,230,MED
162,1150,94,258,248,35,74,126,35,175,57,50,113,751,167,31,341,332,72,198,48,786,47,282,106,76,200,30,268,95,20,46,37,1099,55,1597,250,163,42,20,20,78,46,373,206,65,95,63,99,150,MED
