@relation pp5i_train.top8.gr

@attribute D42041_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D87470_at numeric
@attribute HG3255-HT3432_at numeric
@attribute J03191_at numeric
@attribute L39064_rna1_at numeric
@attribute M14091_at numeric
@attribute M16447_at numeric
@attribute M31303_rna1_at numeric
@attribute M65254_at numeric
@attribute M86528_at numeric
@attribute M88108_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute M97287_at numeric
@attribute S82470_at numeric
@attribute U16954_at numeric
@attribute U35340_at numeric
@attribute U51336_at numeric
@attribute U79248_at numeric
@attribute U79262_at numeric
@attribute U79287_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X13546_rna1_at numeric
@attribute Z48950_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute D83646_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute D63940_s_at numeric
@attribute M31520_rna1_s_at numeric
@attribute M57464_s_at numeric
@attribute HG880-HT880_s_at numeric
@attribute M60784_s_at numeric
@attribute HG3636-HT3846_at numeric
@attribute U29175_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
178,989,592,84,49,338,140,48,89,724,146,23,588,628,20,482,66,931,205,492,47,179,531,99,29,29,960,714,160,270,37,43,21,56,1184,293,28,311,73,240,MED
103,1120,317,151,33,198,130,28,88,579,170,20,516,760,81,645,69,845,163,419,60,192,533,150,23,20,734,952,172,250,29,47,54,130,861,192,79,255,59,213,MED
182,1232,387,166,27,197,124,42,106,608,124,20,653,596,85,522,71,1107,137,238,66,215,682,86,25,20,966,1363,184,140,30,20,20,76,549,73,88,148,62,367,MED
249,1132,312,106,28,365,97,31,78,619,135,22,522,825,40,371,74,1187,125,268,53,187,509,113,21,28,912,1068,164,167,27,45,31,52,805,111,36,242,83,358,MED
200,1030,370,88,37,195,122,39,75,676,133,20,503,536,205,339,93,969,136,214,61,263,700,114,20,33,820,1467,157,141,29,20,20,56,506,32,105,130,81,373,MED
191,814,278,169,30,73,111,37,102,651,120,20,632,471,71,409,99,1172,122,200,62,233,685,87,22,41,946,1536,158,120,23,25,20,76,533,38,73,165,71,367,MED
128,703,281,83,44,64,146,44,52,751,163,20,565,165,97,347,85,1010,165,252,50,252,503,158,35,22,845,1214,186,110,26,20,20,43,535,52,87,100,61,345,MED
118,1034,197,44,71,130,226,49,20,243,294,48,253,396,20,314,101,588,294,228,47,173,243,128,50,39,385,654,184,77,75,20,20,60,310,161,84,141,159,79,MED
104,1321,199,86,87,96,259,55,30,927,244,43,192,192,22,162,35,928,263,199,54,200,454,141,43,42,435,1346,124,56,70,24,20,81,138,108,45,66,135,231,MED
116,716,291,35,79,269,247,66,35,927,237,55,271,213,28,110,110,469,341,277,32,154,423,124,51,41,603,468,159,109,68,20,20,52,561,315,20,206,126,87,MED
76,745,68,20,46,20,172,82,34,606,206,56,173,169,40,200,65,579,298,173,38,170,168,77,45,44,205,667,56,76,89,20,20,61,349,331,20,37,127,51,MED
94,956,320,70,61,133,250,58,44,871,300,45,326,536,25,172,20,1237,286,240,21,299,506,88,46,53,548,1018,154,26,62,20,20,32,252,57,93,93,139,254,MED
90,984,314,41,119,90,159,56,45,1066,248,50,354,459,84,215,20,812,282,254,39,298,531,134,24,32,585,829,127,20,45,20,20,55,529,131,25,36,104,228,MED
132,1307,157,20,47,135,216,73,24,568,215,59,332,128,35,462,20,649,314,207,50,261,543,183,39,64,503,1242,85,27,58,20,20,105,371,123,20,111,106,113,MED
195,571,55,51,55,878,166,42,32,466,161,41,373,20,30,93,113,70,219,207,27,131,580,170,32,46,521,477,64,62,51,20,20,41,412,231,20,197,106,371,MED
165,2082,307,55,65,223,191,63,42,746,251,32,631,701,20,466,20,1032,243,302,59,215,443,111,22,38,386,672,396,87,85,20,20,168,812,277,65,283,109,203,MED
198,838,321,70,62,365,144,44,38,472,167,40,401,686,20,328,98,880,227,462,43,142,246,137,35,39,615,915,167,212,63,81,34,61,454,176,82,147,111,138,MED
170,1132,322,55,46,367,143,40,47,581,183,32,437,923,22,252,129,984,191,446,56,171,532,100,36,37,550,858,185,197,57,20,20,76,449,186,100,266,103,345,MED
200,1434,235,76,50,181,188,51,57,604,163,37,353,409,76,596,99,1159,188,262,56,185,484,131,38,43,662,1469,166,120,42,20,20,96,293,119,97,180,52,233,MED
99,1479,296,52,74,305,189,51,34,908,212,44,505,899,46,276,20,1108,241,216,46,178,585,173,38,34,471,993,178,66,56,20,20,126,412,188,59,234,131,222,MED
113,1182,270,71,56,219,187,55,24,699,241,40,398,233,226,518,55,740,182,296,53,222,421,172,25,39,696,1819,183,85,42,20,28,53,167,67,59,94,95,267,MED
90,957,278,40,77,28,199,36,29,964,210,60,444,597,22,204,20,1443,205,192,42,315,732,83,51,51,479,1174,215,35,68,20,20,46,220,99,63,110,107,230,MED
72,1008,349,39,73,20,186,44,32,732,178,41,375,1000,45,183,20,808,252,199,71,120,342,391,45,42,333,1290,140,66,79,20,20,99,406,73,155,167,83,87,MED
105,435,169,65,80,20,192,90,33,830,221,66,268,174,42,136,20,945,356,79,73,101,306,297,43,20,246,1490,90,20,119,20,20,80,57,25,148,140,126,88,MED
94,569,415,20,73,113,186,51,20,1093,205,70,356,201,105,235,124,861,274,143,31,152,290,20,20,20,290,2127,139,20,88,20,20,41,104,22,91,139,98,169,MED
