@relation pp5i_train.top10.gr

@attribute D00763_at numeric
@attribute D14043_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L06132_at numeric
@attribute L25270_at numeric
@attribute L36818_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M75099_at numeric
@attribute M83308_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U30521_at numeric
@attribute U33818_at numeric
@attribute U51336_at numeric
@attribute U66879_at numeric
@attribute U70321_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute U90916_at numeric
@attribute U91930_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X03066_at numeric
@attribute X04106_at numeric
@attribute X52011_at numeric
@attribute X54304_at numeric
@attribute X61587_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute X65784_s_at numeric
@attribute X73358_s_at numeric
@attribute U06155_at numeric
@attribute U09087_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
491,165,243,178,141,989,592,175,84,273,338,437,22,105,89,117,724,96,198,628,20,390,931,54,1274,147,492,83,22,179,99,51,255,29,29,93,370,49,123,79,164,160,270,43,21,293,166,479,59,75,MED
350,166,228,103,84,1120,317,155,151,231,198,419,21,60,88,75,579,139,180,760,81,302,845,41,1308,96,419,20,20,192,150,20,321,23,20,89,388,31,123,69,62,172,250,47,54,192,205,433,52,59,MED
378,100,185,182,201,1232,387,155,166,415,197,325,22,25,106,68,608,184,157,596,85,272,1107,39,1393,77,238,51,31,215,86,20,355,25,20,88,482,39,125,57,80,184,140,20,20,73,238,799,41,62,MED
476,117,238,249,143,1132,312,136,106,335,365,474,21,55,78,101,619,181,146,825,40,378,1187,20,1075,115,268,98,55,187,113,54,306,21,28,84,497,33,176,69,183,164,167,45,31,111,197,588,63,88,MED
326,142,173,200,177,1030,370,155,88,341,195,517,25,40,75,83,676,113,146,536,205,191,969,46,1284,77,214,46,75,263,114,20,311,20,33,77,351,42,124,66,82,157,141,20,20,32,206,939,58,65,MED
337,100,138,191,174,814,278,134,169,432,73,366,21,34,102,24,651,139,173,471,71,245,1172,53,1341,94,200,30,22,233,87,20,375,22,41,86,478,36,145,58,208,158,120,25,20,38,215,790,71,84,MED
311,27,279,128,199,703,281,143,83,416,64,359,26,61,52,99,751,114,190,165,97,423,1010,57,1222,116,252,20,20,252,158,20,333,35,22,103,253,47,95,42,54,186,110,20,20,52,206,658,63,67,MED
151,61,52,118,42,1034,197,337,44,84,130,137,53,32,20,143,243,41,330,396,20,20,588,114,849,47,228,20,88,173,128,23,143,50,39,115,363,87,45,50,20,184,77,20,20,161,85,458,20,105,MED
65,49,52,104,27,1321,199,377,86,303,96,213,30,20,30,93,927,65,418,192,22,61,928,115,1414,68,199,20,30,200,141,22,289,43,42,89,445,64,92,42,20,124,56,24,20,108,118,1021,20,66,MED
171,24,113,116,21,716,291,344,35,212,269,191,41,31,35,165,927,76,427,213,28,20,469,101,348,92,277,20,57,154,124,20,195,51,41,123,444,68,20,32,20,159,109,20,20,315,72,496,22,64,MED
68,20,143,76,20,745,68,333,20,129,20,181,46,20,34,121,606,67,523,169,40,97,579,126,353,38,173,20,25,170,77,20,155,45,44,98,339,72,35,20,20,56,76,20,20,331,21,537,20,35,MED
93,20,57,94,87,956,320,334,70,190,133,147,20,20,44,149,871,56,355,536,25,20,1237,124,1080,65,240,20,102,299,88,20,239,46,53,91,439,90,37,40,20,154,26,20,20,57,169,1132,20,61,MED
