@relation pp5i_train.top2.gr

@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute J03191_at numeric
@attribute M16447_at numeric
@attribute M31303_rna1_at numeric
@attribute U16954_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X76105_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
243,178,338,89,724,931,99,29,29,164,MED
228,103,198,88,579,845,150,23,20,62,MED
185,182,197,106,608,1107,86,25,20,80,MED
238,249,365,78,619,1187,113,21,28,183,MED
173,200,195,75,676,969,114,20,33,82,MED
138,191,73,102,651,1172,87,22,41,208,MED
279,128,64,52,751,1010,158,35,22,54,MED
52,118,130,20,243,588,128,50,39,20,MED
52,104,96,30,927,928,141,43,42,20,MED
113,116,269,35,927,469,124,51,41,20,MED
143,76,20,34,606,579,77,45,44,20,MED
57,94,133,44,871,1237,88,46,53,20,MED
37,90,90,45,1066,812,134,24,32,33,MED
98,132,135,24,568,649,183,39,64,20,MED
132,195,878,32,466,70,170,32,46,86,MED
112,165,223,42,746,1032,111,22,38,50,MED
196,198,365,38,472,880,137,35,39,84,MED
151,170,367,47,581,984,100,36,37,82,MED
170,200,181,57,604,1159,131,38,43,27,MED
73,99,305,34,908,1108,173,38,34,29,MED
125,113,219,24,699,740,172,25,39,20,MED
104,90,28,29,964,1443,83,51,51,20,MED
91,72,20,32,732,808,391,45,42,20,MED
105,105,20,33,830,945,297,43,20,20,MED
65,94,113,20,1093,861,20,20,20,20,MED
153,257,122,75,515,981,85,42,48,56,MED
110,66,274,42,634,378,170,45,26,20,MED
191,205,176,36,534,626,102,45,52,66,MED
135,108,237,40,830,1102,104,28,44,49,MED
203,273,155,48,467,387,160,52,40,93,MED
86,84,20,20,1106,682,379,20,26,20,MED
102,115,51,35,842,747,74,61,47,20,MED
215,221,309,83,573,407,114,46,42,45,MED
41,113,112,44,576,699,109,26,64,40,MED
187,197,106,89,696,874,200,49,59,49,MED
134,148,196,70,791,872,86,43,40,108,MED
177,277,309,97,631,848,92,42,42,87,MED
116,137,20,69,819,1069,129,41,44,108,MED
172,162,126,50,751,786,95,46,37,20,MED
42,110,30,70,183,337,91,69,69,20,MGL
202,156,112,77,250,276,246,61,61,20,MGL
179,113,121,82,225,169,461,56,74,20,MGL
222,169,320,117,265,309,302,57,60,66,MGL
136,145,20,109,167,486,156,66,70,20,MGL
85,84,47,34,93,177,148,64,66,20,MGL
505,100,105,74,267,222,403,61,69,20,MGL
281,329,721,84,452,607,168,27,39,93,RHB
197,323,1132,37,275,108,142,37,26,85,RHB
340,339,924,40,395,211,104,45,36,72,RHB
312,347,881,101,508,455,104,63,33,57,RHB
329,436,754,58,515,261,104,38,27,76,RHB
292,376,1029,65,404,54,101,20,40,101,RHB
306,314,739,42,187,71,704,31,35,134,RHB
434,221,154,45,263,75,323,22,41,206,EPD
373,219,73,36,226,46,254,42,37,154,EPD
582,246,416,97,288,114,298,27,32,298,EPD
395,251,605,108,428,191,383,26,20,206,EPD
366,263,458,111,608,434,291,23,22,171,EPD
537,303,120,51,381,155,307,30,35,243,EPD
327,221,306,70,193,176,378,38,31,183,EPD
445,147,237,105,329,323,671,25,20,164,EPD
579,274,353,134,226,49,550,27,32,121,EPD
431,222,580,113,287,320,559,22,26,205,EPD
198,215,375,231,301,335,976,21,32,132,JPA
309,221,246,253,343,352,911,20,35,118,JPA
249,209,257,228,277,329,857,24,43,101,JPA
294,173,292,220,256,313,781,21,31,117,JPA
285,163,259,233,271,287,887,24,33,92,JPA
356,187,263,200,228,269,887,28,39,83,JPA
