@relation pp5i_train.top4.gr

@attribute D00763_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X76105_at numeric
@attribute D25304_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
491,243,178,592,175,273,338,89,117,724,390,931,179,99,29,29,164,270,21,293,MED
350,228,103,317,155,231,198,88,75,579,302,845,192,150,23,20,62,250,54,192,MED
378,185,182,387,155,415,197,106,68,608,272,1107,215,86,25,20,80,140,20,73,MED
476,238,249,312,136,335,365,78,101,619,378,1187,187,113,21,28,183,167,31,111,MED
326,173,200,370,155,341,195,75,83,676,191,969,263,114,20,33,82,141,20,32,MED
337,138,191,278,134,432,73,102,24,651,245,1172,233,87,22,41,208,120,20,38,MED
311,279,128,281,143,416,64,52,99,751,423,1010,252,158,35,22,54,110,20,52,MED
151,52,118,197,337,84,130,20,143,243,20,588,173,128,50,39,20,77,20,161,MED
65,52,104,199,377,303,96,30,93,927,61,928,200,141,43,42,20,56,20,108,MED
171,113,116,291,344,212,269,35,165,927,20,469,154,124,51,41,20,109,20,315,MED
68,143,76,68,333,129,20,34,121,606,97,579,170,77,45,44,20,76,20,331,MED
93,57,94,320,334,190,133,44,149,871,20,1237,299,88,46,53,20,26,20,57,MED
68,37,90,314,260,137,90,45,102,1066,124,812,298,134,24,32,33,20,20,131,MED
63,98,132,157,304,210,135,24,105,568,119,649,261,183,39,64,20,27,20,123,MED
156,132,195,55,292,338,878,32,123,466,293,70,131,170,32,46,86,62,20,231,MED
132,112,165,307,254,227,223,42,160,746,143,1032,215,111,22,38,50,87,20,277,MED
263,196,198,321,224,324,365,38,112,472,214,880,142,137,35,39,84,212,34,176,MED
245,151,170,322,190,213,367,47,86,581,194,984,171,100,36,37,82,197,20,186,MED
201,170,200,235,197,253,181,57,121,604,246,1159,185,131,38,43,27,120,20,119,MED
95,73,99,296,267,214,305,34,80,908,209,1108,178,173,38,34,29,66,20,188,MED
114,125,113,270,260,232,219,24,114,699,91,740,222,172,25,39,20,85,28,67,MED
64,104,90,278,297,216,28,29,97,964,179,1443,315,83,51,51,20,35,20,99,MED
92,91,72,349,285,162,20,32,117,732,123,808,120,391,45,42,20,66,20,73,MED
95,105,105,169,265,110,20,33,86,830,79,945,101,297,43,20,20,20,20,25,MED
78,65,94,415,249,250,113,20,106,1093,67,861,152,20,20,20,20,20,20,22,MED
204,153,257,173,190,297,122,75,140,515,142,981,259,85,42,48,56,111,20,77,MED
147,110,66,65,253,135,274,42,147,634,308,378,186,170,45,26,20,205,20,690,MED
320,191,205,224,247,202,176,36,148,534,308,626,219,102,45,52,66,233,20,287,MED
127,135,108,387,274,372,237,40,113,830,70,1102,196,104,28,44,49,84,20,96,MED
131,203,273,183,263,271,155,48,133,467,122,387,111,160,52,40,93,136,20,130,MED
69,86,84,100,244,205,20,20,139,1106,64,682,147,379,20,26,20,47,36,26,MED
63,102,115,198,277,123,51,35,98,842,109,747,137,74,61,47,20,22,20,20,MED
254,215,221,300,232,449,309,83,132,573,362,407,189,114,46,42,45,176,20,308,MED
70,41,113,418,273,178,112,44,83,576,144,699,148,109,26,64,40,214,20,268,MED
276,187,197,320,229,214,106,89,126,696,225,874,204,200,49,59,49,191,20,262,MED
220,134,148,385,203,250,196,70,88,791,255,872,208,86,43,40,108,180,20,210,MED
226,177,277,353,226,216,309,97,102,631,237,848,185,92,42,42,87,153,20,175,MED
100,116,137,159,216,328,20,69,117,819,79,1069,171,129,41,44,108,98,20,41,MED
142,172,162,258,248,356,126,50,113,751,230,786,200,95,46,37,20,163,20,206,MED
72,42,110,97,380,73,30,70,209,183,91,337,125,91,69,69,20,149,36,121,MGL
136,202,156,23,359,207,112,77,189,250,174,276,103,246,61,61,20,235,98,128,MGL
26,179,113,50,373,83,121,82,198,225,45,169,91,461,56,74,20,185,40,78,MGL
163,222,169,64,316,237,320,117,188,265,198,309,146,302,57,60,66,296,99,165,MGL
68,136,145,91,382,178,20,109,172,167,133,486,138,156,66,70,20,214,63,68,MGL
60,85,84,54,349,54,47,34,176,93,57,177,125,148,64,66,20,165,44,109,MGL
67,505,100,53,382,108,105,74,172,267,150,222,85,403,61,69,20,299,84,84,MGL
320,281,329,158,214,403,721,84,117,452,370,607,64,168,27,39,93,569,194,257,RHB
268,197,323,138,204,591,1132,37,124,275,405,108,102,142,37,26,85,165,20,281,RHB
397,340,339,114,216,458,924,40,90,395,389,211,109,104,45,36,72,178,20,307,RHB
285,312,347,164,198,553,881,101,128,508,390,455,132,104,63,33,57,180,20,303,RHB
