@relation pp5i_train.top6.gr

@attribute D00763_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L25270_at numeric
@attribute L36818_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M93426_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U51336_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X54304_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute U06155_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
491,243,178,141,989,592,175,273,338,22,105,89,117,724,20,390,931,54,492,179,99,29,29,123,164,160,270,21,293,59,MED
350,228,103,84,1120,317,155,231,198,21,60,88,75,579,81,302,845,41,419,192,150,23,20,123,62,172,250,54,192,52,MED
378,185,182,201,1232,387,155,415,197,22,25,106,68,608,85,272,1107,39,238,215,86,25,20,125,80,184,140,20,73,41,MED
476,238,249,143,1132,312,136,335,365,21,55,78,101,619,40,378,1187,20,268,187,113,21,28,176,183,164,167,31,111,63,MED
326,173,200,177,1030,370,155,341,195,25,40,75,83,676,205,191,969,46,214,263,114,20,33,124,82,157,141,20,32,58,MED
337,138,191,174,814,278,134,432,73,21,34,102,24,651,71,245,1172,53,200,233,87,22,41,145,208,158,120,20,38,71,MED
311,279,128,199,703,281,143,416,64,26,61,52,99,751,97,423,1010,57,252,252,158,35,22,95,54,186,110,20,52,63,MED
151,52,118,42,1034,197,337,84,130,53,32,20,143,243,20,20,588,114,228,173,128,50,39,45,20,184,77,20,161,20,MED
65,52,104,27,1321,199,377,303,96,30,20,30,93,927,22,61,928,115,199,200,141,43,42,92,20,124,56,20,108,20,MED
171,113,116,21,716,291,344,212,269,41,31,35,165,927,28,20,469,101,277,154,124,51,41,20,20,159,109,20,315,22,MED
68,143,76,20,745,68,333,129,20,46,20,34,121,606,40,97,579,126,173,170,77,45,44,35,20,56,76,20,331,20,MED
93,57,94,87,956,320,334,190,133,20,20,44,149,871,25,20,1237,124,240,299,88,46,53,37,20,154,26,20,57,20,MED
68,37,90,90,984,314,260,137,90,42,20,45,102,1066,84,124,812,91,254,298,134,24,32,53,33,127,20,20,131,20,MED
63,98,132,42,1307,157,304,210,135,46,20,24,105,568,35,119,649,103,207,261,183,39,64,20,20,85,27,20,123,20,MED
156,132,195,201,571,55,292,338,878,32,109,32,123,466,30,293,70,68,207,131,170,32,46,344,86,64,62,20,231,29,MED
132,112,165,39,2082,307,254,227,223,31,30,42,160,746,20,143,1032,49,302,215,111,22,38,57,50,396,87,20,277,20,MED
263,196,198,109,838,321,224,324,365,25,95,38,112,472,20,214,880,65,462,142,137,35,39,180,84,167,212,34,176,43,MED
245,151,170,82,1132,322,190,213,367,26,48,47,86,581,22,194,984,57,446,171,100,36,37,78,82,185,197,20,186,36,MED
201,170,200,114,1434,235,197,253,181,33,54,57,121,604,76,246,1159,52,262,185,131,38,43,51,27,166,120,20,119,32,MED
95,73,99,88,1479,296,267,214,305,45,24,34,80,908,46,209,1108,93,216,178,173,38,34,65,29,178,66,20,188,20,MED
114,125,113,149,1182,270,260,232,219,41,52,24,114,699,226,91,740,51,296,222,172,25,39,72,20,183,85,28,67,20,MED
64,104,90,36,957,278,297,216,28,42,22,29,97,964,22,179,1443,89,192,315,83,51,51,60,20,215,35,20,99,20,MED
92,91,72,25,1008,349,285,162,20,45,33,32,117,732,45,123,808,73,199,120,391,45,42,46,20,140,66,20,73,23,MED
95,105,105,49,435,169,265,110,20,35,20,33,86,830,42,79,945,81,79,101,297,43,20,20,20,90,20,20,25,24,MED
78,65,94,25,569,415,249,250,113,49,30,20,106,1093,105,67,861,80,143,152,20,20,20,20,20,139,20,20,22,33,MED
204,153,257,120,831,173,190,297,122,36,59,75,140,515,166,142,981,62,169,259,85,42,48,86,56,278,111,20,77,52,MED
147,110,66,51,1030,65,253,135,274,27,27,42,147,634,43,308,378,64,275,186,170,45,26,48,20,109,205,20,690,26,MED
320,191,205,43,927,224,247,202,176,35,69,36,148,534,25,308,626,100,212,219,102,45,52,92,66,152,233,20,287,51,MED
127,135,108,100,996,387,274,372,237,40,36,40,113,830,114,70,1102,90,152,196,104,28,44,61,49,193,84,20,96,20,MED
131,203,273,131,713,183,263,271,155,38,72,48,133,467,20,122,387,73,124,111,160,52,40,71,93,160,136,20,130,49,MED
69,86,84,20,982,100,244,205,20,49,20,20,139,1106,88,64,682,36,84,147,379,20,26,58,20,162,47,36,26,20,MED
63,102,115,70,799,198,277,123,51,44,54,35,98,842,49,109,747,80,167,137,74,61,47,31,20,114,22,20,20,20,MED
254,215,221,141,1669,300,232,449,309,36,102,83,132,573,23,362,407,67,331,189,114,46,42,100,45,216,176,20,308,35,MED
70,41,113,47,883,418,273,178,112,49,45,44,83,576,20,144,699,67,168,148,109,26,64,33,40,149,214,20,268,20,MED
276,187,197,82,1243,320,229,214,106,39,90,89,126,696,122,225,874,72,254,204,200,49,59,27,49,191,191,20,262,23,MED
220,134,148,96,1463,385,203,250,196,32,64,70,88,791,20,255,872,69,329,208,86,43,40,77,108,122,180,20,210,55,MED
226,177,277,116,848,353,226,216,309,27,63,97,102,631,20,237,848,64,238,185,92,42,42,69,87,210,153,20,175,20,MED
100,116,137,94,1087,159,216,328,20,47,59,69,117,819,87,79,1069,71,156,171,129,41,44,62,108,222,98,20,41,41,MED
142,172,162,97,1150,258,248,356,126,39,35,50,113,751,72,230,786,69,106,200,95,46,37,126,20,250,163,20,206,20,MED
72,42,110,43,621,97,380,73,30,52,46,70,209,183,769,91,337,123,216,125,91,69,69,20,20,92,149,36,121,20,MGL
136,202,156,35,478,23,359,207,112,49,84,77,189,250,425,174,276,110,150,103,246,61,61,68,20,76,235,98,128,20,MGL
26,179,113,40,287,50,373,83,121,52,64,82,198,225,331,45,169,122,759,91,461,56,74,20,20,30,185,40,78,20,MGL
163,222,169,152,365,64,316,237,320,48,72,117,188,265,569,198,309,110,167,146,302,57,60,155,66,42,296,99,165,50,MGL
68,136,145,37,388,91,382,178,20,55,65,109,172,167,784,133,486,123,249,138,156,66,70,20,20,81,214,63,68,38,MGL
60,85,84,21,324,54,349,54,47,52,85,34,176,93,315,57,177,139,239,125,148,64,66,20,20,43,165,44,109,27,MGL
67,505,100,41,421,53,382,108,105,44,97,74,172,267,355,150,222,119,367,85,403,61,69,20,20,51,299,84,84,20,MGL
320,281,329,355,545,158,214,403,721,29,151,84,117,452,224,370,607,54,148,64,168,27,39,222,93,119,569,194,257,73,RHB
268,197,323,230,336,138,204,591,1132,36,116,37,124,275,508,405,108,53,107,102,142,37,26,415,85,63,165,20,281,58,RHB
397,340,339,412,396,114,216,458,924,36,142,40,90,395,20,389,211,59,96,109,104,45,36,395,72,86,178,20,307,65,RHB
285,312,347,394,629,164,198,553,881,29,256,101,128,508,20,390,455,58,96,132,104,63,33,356,57,42,180,20,303,60,RHB
425,329,436,384,644,91,183,457,754,29,143,58,108,515,45,663,261,52,146,110,104,38,27,353,76,58,209,20,283,45,RHB
489,292,376,429,619,138,147,505,1029,24,180,65,109,404,20,457,54,99,184,75,101,20,40,403,101,38,241,20,292,97,RHB
383,306,314,284,422,46,216,537,739,25,166,42,84,187,20,144,71,69,147,56,704,31,35,296,134,37,243,20,265,42,RHB
366,434,221,189,352,108,237,208,154,31,167,45,163,263,280,390,75,65,433,71,323,22,41,71,206,43,136,20,94,80,EPD
