@relation pp5i_train.top8.gr

@attribute D00763_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L06132_at numeric
@attribute L25270_at numeric
@attribute L36818_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M75099_at numeric
@attribute M83308_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U51336_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X04106_at numeric
@attribute X52011_at numeric
@attribute X54304_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute X65784_s_at numeric
@attribute U06155_at numeric
@attribute U09087_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
491,243,178,141,989,592,175,84,273,338,437,22,105,89,117,724,96,198,628,20,390,931,54,492,179,99,29,29,370,49,123,164,160,270,43,21,293,166,59,75,MED
350,228,103,84,1120,317,155,151,231,198,419,21,60,88,75,579,139,180,760,81,302,845,41,419,192,150,23,20,388,31,123,62,172,250,47,54,192,205,52,59,MED
378,185,182,201,1232,387,155,166,415,197,325,22,25,106,68,608,184,157,596,85,272,1107,39,238,215,86,25,20,482,39,125,80,184,140,20,20,73,238,41,62,MED
476,238,249,143,1132,312,136,106,335,365,474,21,55,78,101,619,181,146,825,40,378,1187,20,268,187,113,21,28,497,33,176,183,164,167,45,31,111,197,63,88,MED
326,173,200,177,1030,370,155,88,341,195,517,25,40,75,83,676,113,146,536,205,191,969,46,214,263,114,20,33,351,42,124,82,157,141,20,20,32,206,58,65,MED
337,138,191,174,814,278,134,169,432,73,366,21,34,102,24,651,139,173,471,71,245,1172,53,200,233,87,22,41,478,36,145,208,158,120,25,20,38,215,71,84,MED
311,279,128,199,703,281,143,83,416,64,359,26,61,52,99,751,114,190,165,97,423,1010,57,252,252,158,35,22,253,47,95,54,186,110,20,20,52,206,63,67,MED
151,52,118,42,1034,197,337,44,84,130,137,53,32,20,143,243,41,330,396,20,20,588,114,228,173,128,50,39,363,87,45,20,184,77,20,20,161,85,20,105,MED
65,52,104,27,1321,199,377,86,303,96,213,30,20,30,93,927,65,418,192,22,61,928,115,199,200,141,43,42,445,64,92,20,124,56,24,20,108,118,20,66,MED
171,113,116,21,716,291,344,35,212,269,191,41,31,35,165,927,76,427,213,28,20,469,101,277,154,124,51,41,444,68,20,20,159,109,20,20,315,72,22,64,MED
68,143,76,20,745,68,333,20,129,20,181,46,20,34,121,606,67,523,169,40,97,579,126,173,170,77,45,44,339,72,35,20,56,76,20,20,331,21,20,35,MED
93,57,94,87,956,320,334,70,190,133,147,20,20,44,149,871,56,355,536,25,20,1237,124,240,299,88,46,53,439,90,37,20,154,26,20,20,57,169,20,61,MED
68,37,90,90,984,314,260,41,137,90,250,42,20,45,102,1066,70,363,459,84,124,812,91,254,298,134,24,32,556,51,53,33,127,20,20,20,131,98,20,55,MED
63,98,132,42,1307,157,304,20,210,135,154,46,20,24,105,568,197,349,128,35,119,649,103,207,261,183,39,64,333,64,20,20,85,27,20,20,123,32,20,68,MED
156,132,195,201,571,55,292,51,338,878,286,32,109,32,123,466,195,261,20,30,293,70,68,207,131,170,32,46,1009,43,344,86,64,62,20,20,231,217,29,83,MED
132,112,165,39,2082,307,254,55,227,223,205,31,30,42,160,746,23,265,701,20,143,1032,49,302,215,111,22,38,398,50,57,50,396,87,20,20,277,88,20,90,MED
263,196,198,109,838,321,224,70,324,365,299,25,95,38,112,472,108,205,686,20,214,880,65,462,142,137,35,39,426,54,180,84,167,212,81,34,176,97,43,87,MED
245,151,170,82,1132,322,190,55,213,367,412,26,48,47,86,581,73,180,923,22,194,984,57,446,171,100,36,37,472,49,78,82,185,197,20,20,186,152,36,69,MED
201,170,200,114,1434,235,197,76,253,181,372,33,54,57,121,604,156,190,409,76,246,1159,52,262,185,131,38,43,334,42,51,27,166,120,20,20,119,85,32,104,MED
95,73,99,88,1479,296,267,52,214,305,246,45,24,34,80,908,118,305,899,46,209,1108,93,216,178,173,38,34,595,46,65,29,178,66,20,20,188,105,20,60,MED
114,125,113,149,1182,270,260,71,232,219,230,41,52,24,114,699,83,235,233,226,91,740,51,296,222,172,25,39,371,47,72,20,183,85,20,28,67,133,20,113,MED
64,104,90,36,957,278,297,40,216,28,200,42,22,29,97,964,20,335,597,22,179,1443,89,192,315,83,51,51,368,59,60,20,215,35,20,20,99,59,20,109,MED
92,91,72,25,1008,349,285,39,162,20,181,45,33,32,117,732,20,287,1000,45,123,808,73,199,120,391,45,42,307,67,46,20,140,66,20,20,73,25,23,109,MED
95,105,105,49,435,169,265,65,110,20,105,35,20,33,86,830,41,405,174,42,79,945,81,79,101,297,43,20,585,70,20,20,90,20,20,20,25,53,24,121,MED
78,65,94,25,569,415,249,20,250,113,179,49,30,20,106,1093,20,319,201,105,67,861,80,143,152,20,20,20,102,41,20,20,139,20,20,20,22,88,33,66,MED
204,153,257,120,831,173,190,100,297,122,303,36,59,75,140,515,116,167,686,166,142,981,62,169,259,85,42,48,304,45,86,56,278,111,20,20,77,72,52,28,MED
147,110,66,51,1030,65,253,32,135,274,234,27,27,42,147,634,100,306,126,43,308,378,64,275,186,170,45,26,175,81,48,20,109,205,34,20,690,48,26,31,MED
320,191,205,43,927,224,247,58,202,176,285,35,69,36,148,534,52,239,582,25,308,626,100,212,219,102,45,52,206,51,92,66,152,233,20,20,287,111,51,70,MED
127,135,108,100,996,387,274,104,372,237,231,40,36,40,113,830,122,195,534,114,70,1102,90,152,196,104,28,44,399,54,61,49,193,84,20,20,96,157,20,64,MED
131,203,273,131,713,183,263,76,271,155,193,38,72,48,133,467,112,224,481,20,122,387,73,124,111,160,52,40,247,63,71,93,160,136,20,20,130,154,49,52,MED
69,86,84,20,982,100,244,20,205,20,177,49,20,20,139,1106,22,261,133,88,64,682,36,84,147,379,20,26,526,68,58,20,162,47,20,36,26,75,20,74,MED
63,102,115,70,799,198,277,60,123,51,166,44,54,35,98,842,20,248,116,49,109,747,80,167,137,74,61,47,155,69,31,20,114,22,20,20,20,81,20,42,MED
254,215,221,141,1669,300,232,60,449,309,419,36,102,83,132,573,130,251,124,23,362,407,67,331,189,114,46,42,590,51,100,45,216,176,20,20,308,131,35,47,MED
70,41,113,47,883,418,273,67,178,112,116,49,45,44,83,576,65,325,554,20,144,699,67,168,148,109,26,64,248,58,33,40,149,214,20,20,268,131,20,39,MED
276,187,197,82,1243,320,229,92,214,106,329,39,90,89,126,696,88,244,1060,122,225,874,72,254,204,200,49,59,357,52,27,49,191,191,20,20,262,128,23,39,MED
220,134,148,96,1463,385,203,47,250,196,288,32,64,70,88,791,109,228,1142,20,255,872,69,329,208,86,43,40,303,44,77,108,122,180,20,20,210,164,55,72,MED
226,177,277,116,848,353,226,47,216,309,334,27,63,97,102,631,100,234,577,20,237,848,64,238,185,92,42,42,339,53,69,87,210,153,20,20,175,147,20,138,MED
100,116,137,94,1087,159,216,141,328,20,127,47,59,69,117,819,66,212,773,87,79,1069,71,156,171,129,41,44,496,65,62,108,222,98,59,20,41,169,41,38,MED
142,172,162,97,1150,258,248,35,356,126,334,39,35,50,113,751,53,262,332,72,230,786,69,106,200,95,46,37,398,52,126,20,250,163,20,20,206,87,20,63,MED
72,42,110,43,621,97,380,98,73,30,162,52,46,70,209,183,20,448,47,769,91,337,123,216,125,91,69,69,184,114,20,20,92,149,25,36,121,101,20,20,MGL
136,202,156,35,478,23,359,47,207,112,190,49,84,77,189,250,20,454,42,425,174,276,110,150,103,246,61,61,212,94,68,20,76,235,41,98,128,74,20,28,MGL
26,179,113,40,287,50,373,143,83,121,193,52,64,82,198,225,54,475,20,331,45,169,122,759,91,461,56,74,312,98,20,20,30,185,20,40,78,68,20,20,MGL
163,222,169,152,365,64,316,92,237,320,258,48,72,117,188,265,90,375,20,569,198,309,110,167,146,302,57,60,515,77,155,66,42,296,53,99,165,90,50,23,MGL
68,136,145,37,388,91,382,130,178,20,173,55,65,109,172,167,20,508,35,784,133,486,123,249,138,156,66,70,233,103,20,20,81,214,36,63,68,130,38,20,MGL
60,85,84,21,324,54,349,70,54,47,120,52,85,34,176,93,20,534,20,315,57,177,139,239,125,148,64,66,243,95,20,20,43,165,20,44,109,91,27,20,MGL
67,505,100,41,421,53,382,67,108,105,189,44,97,74,172,267,20,516,20,355,150,222,119,367,85,403,61,69,168,92,20,20,51,299,73,84,84,65,20,20,MGL
320,281,329,355,545,158,214,78,403,721,401,29,151,84,117,452,84,209,20,224,370,607,54,148,64,168,27,39,597,42,222,93,119,569,87,194,257,156,73,23,RHB
268,197,323,230,336,138,204,74,591,1132,497,36,116,37,124,275,146,236,20,508,405,108,53,107,102,142,37,26,688,45,415,85,63,165,20,20,281,130,58,20,RHB
397,340,339,412,396,114,216,74,458,924,472,36,142,40,90,395,100,226,20,20,389,211,59,96,109,104,45,36,689,46,395,72,86,178,20,20,307,157,65,21,RHB
285,312,347,394,629,164,198,67,553,881,560,29,256,101,128,508,44,185,20,20,390,455,58,96,132,104,63,33,663,35,356,57,42,180,20,20,303,229,60,21,RHB
425,329,436,384,644,91,183,67,457,754,569,29,143,58,108,515,165,211,20,45,663,261,52,146,110,104,38,27,697,38,353,76,58,209,20,20,283,180,45,51,RHB
489,292,376,429,619,138,147,61,505,1029,577,24,180,65,109,404,177,172,20,20,457,54,99,184,75,101,20,40,851,27,403,101,38,241,45,20,292,291,97,20,RHB
383,306,314,284,422,46,216,20,537,739,577,25,166,42,84,187,158,207,20,20,144,71,69,147,56,704,31,35,709,49,296,134,37,243,86,20,265,222,42,20,RHB
366,434,221,189,352,108,237,96,208,154,299,31,167,45,163,263,303,218,20,280,390,75,65,433,71,323,22,41,451,30,71,206,43,136,104,20,94,231,80,20,EPD
323,373,219,249,340,73,230,106,231,73,339,23,142,36,108,226,286,179,20,303,384,46,55,160,92,254,42,37,362,36,81,154,56,159,104,33,20,231,69,20,EPD
377,582,246,243,482,102,171,100,387,416,400,20,165,97,128,288,202,183,20,165,428,114,50,145,76,298,27,32,477,34,171,298,61,203,80,62,63,231,68,22,EPD
453,395,251,274,572,72,199,115,458,605,431,23,188,108,98,428,213,174,20,104,538,191,41,139,114,383,26,20,541,35,406,206,102,162,33,23,102,274,70,55,EPD
483,366,263,210,773,98,163,111,295,458,459,20,209,111,92,608,187,134,68,165,498,434,36,170,129,291,23,22,500,35,256,171,141,176,42,27,126,258,73,92,EPD
368,537,303,339,366,25,191,127,208,120,296,27,191,51,142,381,177,218,20,296,426,155,70,411,87,307,30,35,490,35,60,243,38,200,75,26,119,262,52,20,EPD
308,327,221,163,518,80,174,82,316,306,320,20,138,70,56,193,225,146,20,20,330,176,62,322,63,378,38,31,509,31,222,183,46,147,67,24,62,183,64,20,EPD
342,445,147,154,661,69,170,253,323,237,389,23,217,105,149,329,321,224,138,269,497,323,48,248,112,671,25,20,515,38,162,164,93,321,73,114,119,234,64,28,EPD
393,579,274,96,567,97,161,105,286,353,463,20,141,134,118,226,259,163,20,228,389,49,40,281,130,550,27,32,574,36,243,121,63,382,38,141,55,210,86,20,EPD
409,431,222,248,513,103,174,109,463,580,400,20,170,113,95,287,190,175,20,473,363,320,41,237,95,559,22,26,586,31,330,205,61,288,193,89,88,170,65,23,EPD
239,198,215,235,562,46,182,228,328,375,512,20,221,231,107,301,239,188,20,1035,340,335,57,626,87,976,21,32,534,39,191,132,52,686,113,329,88,219,82,20,JPA
