This file contains notes/observations for step 3.b of the project.

A 10-fold cross validation was used to generate the following accuracies.
No modifications to the default parameters were made to generate the following accuracies. 

----------start

NaiveBayes:
    N | Accuracy | Error Rate
    2 | 94.2029% | 5.7971%
    4 | 95.6522% | 4.3478%
    6 | 95.6522% | 4.3478%
    8 | 94.2029% | 5.7971%
   10 | 95.6522% | 4.3478%
   12 | 95.6522% | 4.3478%
   15 | 97.1014% | 2.8986%
   20 | 95.6522% | 4.3478%
   25 | 95.6522% | 4.3478%
   30 | 95.6522% | 4.3478%

J48:
    N | Accuracy | Error Rate
    2 | 82.6087% | 17.3913%
    4 | 73.913%  | 26.087%
    6 | 71.0145% | 28.9855%
    8 | 79.7101% | 20.2899%
   10 | 88.4058% | 11.5942%
   12 | 88.4058% | 11.5942%
   15 | 88.4058% | 11.5942%
   20 | 89.8551% | 10.1449%
   25 | 91.3043% | 8.6957%
   30 | 91.3043% | 8.6957%

IB1:
    N | Accuracy | Error Rate
    2 | 95.6522% | 4.3478%
    4 | 97.1014% | 2.8986%
    6 | 97.1014% | 2.8986%
    8 | 98.5507% | 1.4493%
   10 | 98.5507% | 1.4493%
   12 | 97.1014% | 2.8986%
   15 | 98.5507% | 1.4493%
   20 | 95.6522% | 4.3478%
   25 | 98.5507% | 1.4493%
   30 | 98.5507% | 1.4493%

IBk, where K = 2
    N | Accuracy | Error Rate
    2 | 94.2029% | 5.7971%
    4 | 98.5507% | 1.4493%
    6 | 97.1014% | 2.8986%
    8 | 98.5507% | 1.4493%
   10 | 98.5507% | 1.4493%
   12 | 97.1014% | 2.8986%
   15 | 98.5507% | 1.4493%
   20 | 97.1014% | 2.8986%
   25 | 95.6522% | 4.3478%
   30 | 95.6522% | 4.3478%

IBk, where K = 3
    N | Accuracy | Error Rate
    2 | 97.1014% | 2.8986%
    4 | 97.1014% | 2.8986%
    6 | 97.1014% | 2.8986%
    8 | 97.1014% | 2.8986%
   10 | 98.5507% | 1.4493%
   12 | 98.5507% | 1.4493%
   15 | 98.5507% | 1.4493%
   20 | 97.1014% | 2.8986%
   25 | 98.5507% | 1.4493%
   30 | 95.6522% | 4.3478%

IBk, where K = 4
    N | Accuracy | Error Rate
    2 | 97.1014% | 2.8986%
    4 | 98.5507% | 1.4493%
    6 | 98.5507% | 1.4493%
    8 | 98.5507% | 1.4493%
   10 | 98.5507% | 1.4493%
   12 | 98.5507% | 1.4493%
   15 | 98.5507% | 1.4493%
   20 | 98.5507% | 1.4493%
   25 | 98.5507% | 1.4493%
   30 | 97.1014% | 2.8986%

OneR:
    N | Accuracy | Error Rate
    2 | 59.4203% | 40.5797%
    4 | 57.971%  | 42.029%
    6 | 72.4638% | 27.5362%
    8 | 72.4638% | 27.5362%
   10 | 71.0145% | 28.9855%
   12 | 69.5652% | 30.4348%
   15 | 69.5652% | 30.4348%
   20 | 69.5652% | 30.4348%
   25 | 66.6667% | 33.3333%
   30 | 66.6667% | 33.3333%


-----end
