D00763_at,D14662_at,D42041_at,D45248_at,D50310_at,D80004_at,D85815_at,D87470_at,HG3514-HT3708_at,J03191_at,L06132_at,L25270_at,L36818_at,M16447_at,M20137_at,M31303_rna1_at,M75099_at,M83308_at,M93119_at,M93426_at,U07550_at,U16954_at,U17760_rna1_at,U51336_at,U79262_at,U79294_at,V01515_cds1_at,X00371_rna1_at,X04106_at,X52011_at,X54304_at,X76105_at,Z69915_at,D25304_at,L08895_at,D13631_s_at,M57464_s_at,X65784_s_at,U06155_at,U09087_s_at,Class
491.0,243.0,178.0,141.0,989.0,592.0,175.0,84.0,273.0,338.0,437.0,22.0,105.0,89.0,117.0,724.0,96.0,198.0,628.0,20,390.0,931.0,54.0,492.0,179.0,99.0,29.0,29.0,370.0,49.0,123.0,164.0,160.0,270.0,43.0,21.0,293.0,166.0,59.0,75.0,MED
350.0,228.0,103.0,84.0,1120.0,317.0,155.0,151.0,231.0,198.0,419.0,21.0,60.0,88.0,75.0,579.0,139.0,180.0,760.0,81.0,302.0,845.0,41.0,419.0,192.0,150.0,23.0,20,388.0,31.0,123.0,62.0,172.0,250.0,47.0,54.0,192.0,205.0,52.0,59.0,MED
378.0,185.0,182.0,201.0,1232.0,387.0,155.0,166.0,415.0,197.0,325.0,22.0,25.0,106.0,68.0,608.0,184.0,157.0,596.0,85.0,272.0,1107.0,39.0,238.0,215.0,86.0,25.0,20,482.0,39.0,125.0,80.0,184.0,140.0,20,20,73.0,238.0,41.0,62.0,MED
476.0,238.0,249.0,143.0,1132.0,312.0,136.0,106.0,335.0,365.0,474.0,21.0,55.0,78.0,101.0,619.0,181.0,146.0,825.0,40.0,378.0,1187.0,20,268.0,187.0,113.0,21.0,28.0,497.0,33.0,176.0,183.0,164.0,167.0,45.0,31.0,111.0,197.0,63.0,88.0,MED
326.0,173.0,200.0,177.0,1030.0,370.0,155.0,88.0,341.0,195.0,517.0,25.0,40.0,75.0,83.0,676.0,113.0,146.0,536.0,205.0,191.0,969.0,46.0,214.0,263.0,114.0,20.0,33.0,351.0,42.0,124.0,82.0,157.0,141.0,20,20,32.0,206.0,58.0,65.0,MED
337.0,138.0,191.0,174.0,814.0,278.0,134.0,169.0,432.0,73.0,366.0,21.0,34.0,102.0,24.0,651.0,139.0,173.0,471.0,71.0,245.0,1172.0,53.0,200.0,233.0,87.0,22.0,41.0,478.0,36.0,145.0,208.0,158.0,120.0,25.0,20,38.0,215.0,71.0,84.0,MED
311.0,279.0,128.0,199.0,703.0,281.0,143.0,83.0,416.0,64.0,359.0,26.0,61.0,52.0,99.0,751.0,114.0,190.0,165.0,97.0,423.0,1010.0,57.0,252.0,252.0,158.0,35.0,22.0,253.0,47.0,95.0,54.0,186.0,110.0,20,20,52.0,206.0,63.0,67.0,MED
151.0,52.0,118.0,42.0,1034.0,197.0,337.0,44.0,84.0,130.0,137.0,53.0,32.0,20,143.0,243.0,41.0,330.0,396.0,20,20,588.0,114.0,228.0,173.0,128.0,50.0,39.0,363.0,87.0,45.0,20,184.0,77.0,20,20,161.0,85.0,20,105.0,MED
65.0,52.0,104.0,27.0,1321.0,199.0,377.0,86.0,303.0,96.0,213.0,30.0,20,30.0,93.0,927.0,65.0,418.0,192.0,22.0,61.0,928.0,115.0,199.0,200.0,141.0,43.0,42.0,445.0,64.0,92.0,20,124.0,56.0,24.0,20,108.0,118.0,20,66.0,MED
171.0,113.0,116.0,21.0,716.0,291.0,344.0,35.0,212.0,269.0,191.0,41.0,31.0,35.0,165.0,927.0,76.0,427.0,213.0,28.0,20.0,469.0,101.0,277.0,154.0,124.0,51.0,41.0,444.0,68.0,20,20,159.0,109.0,20,20,315.0,72.0,22.0,64.0,MED
