@relation pp5i_train.best12

@attribute D00763_at numeric
@attribute D14043_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L06132_at numeric
@attribute L25270_at numeric
@attribute L36463_at numeric
@attribute L36818_at numeric
@attribute L37792_at numeric
@attribute L43338_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M75099_at numeric
@attribute M83308_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute U01923_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U30521_at numeric
@attribute U33818_at numeric
@attribute U51336_at numeric
@attribute U66879_at numeric
@attribute U70321_at numeric
@attribute U79248_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute U90916_at numeric
@attribute U91930_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X03066_at numeric
@attribute X04106_at numeric
@attribute X15187_at numeric
@attribute X52011_at numeric
@attribute X54304_at numeric
@attribute X60188_at numeric
@attribute X61587_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute Z97074_at numeric
@attribute D25304_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute U48705_rna1_s_at numeric
@attribute M57464_s_at numeric
@attribute X65784_s_at numeric
@attribute S79873_s_at numeric
@attribute X73358_s_at numeric
@attribute U06155_at numeric
@attribute U09087_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
491,165,243,178,141,989,592,175,84,273,338,437,22,236,105,197,37,89,117,724,96,198,628,20,302,390,931,54,1274,147,492,83,22,47,179,99,51,255,29,29,93,370,523,49,123,27,79,164,160,51,270,43,21,188,293,166,132,479,59,75,MED
350,166,228,103,84,1120,317,155,151,231,198,419,21,223,60,186,38,88,75,579,139,180,760,81,249,302,845,41,1308,96,419,20,20,60,192,150,20,321,23,20,89,388,478,31,123,45,69,62,172,66,250,47,54,131,192,205,129,433,52,59,MED
378,100,185,182,201,1232,387,155,166,415,197,325,22,210,25,190,38,106,68,608,184,157,596,85,309,272,1107,39,1393,77,238,51,31,66,215,86,20,355,25,20,88,482,423,39,125,95,57,80,184,66,140,20,20,156,73,238,198,799,41,62,MED
476,117,238,249,143,1132,312,136,106,335,365,474,21,208,55,151,34,78,101,619,181,146,825,40,232,378,1187,20,1075,115,268,98,55,53,187,113,54,306,21,28,84,497,564,33,176,109,69,183,164,46,167,45,31,198,111,197,164,588,63,88,MED
326,142,173,200,177,1030,370,155,88,341,195,517,25,231,40,211,29,75,83,676,113,146,536,205,260,191,969,46,1284,77,214,46,75,61,263,114,20,311,20,33,77,351,368,42,124,83,66,82,157,78,141,20,20,193,32,206,143,939,58,65,MED
337,100,138,191,174,814,278,134,169,432,73,366,21,237,34,120,26,102,24,651,139,173,471,71,319,245,1172,53,1341,94,200,30,22,62,233,87,20,375,22,41,86,478,458,36,145,131,58,208,158,61,120,25,20,171,38,215,199,790,71,84,MED
311,27,279,128,199,703,281,143,83,416,64,359,26,252,61,260,40,52,99,751,114,190,165,97,259,423,1010,57,1222,116,252,20,20,50,252,158,20,333,35,22,103,253,502,47,95,86,42,54,186,81,110,20,20,142,52,206,130,658,63,67,MED
151,61,52,118,42,1034,197,337,44,84,130,137,53,259,32,190,81,20,143,243,41,330,396,20,26,20,588,114,849,47,228,20,88,47,173,128,23,143,50,39,115,363,212,87,45,20,50,20,184,33,77,20,20,67,161,85,42,458,20,105,MED
65,49,52,104,27,1321,199,377,86,303,96,213,30,149,20,183,55,30,93,927,65,418,192,22,45,61,928,115,1414,68,199,20,30,54,200,141,22,289,43,42,89,445,289,64,92,20,42,20,124,73,56,24,20,167,108,118,37,1021,20,66,MED
171,24,113,116,21,716,291,344,35,212,269,191,41,271,31,114,51,35,165,927,76,427,213,28,38,20,469,101,348,92,277,20,57,32,154,124,20,195,51,41,123,444,294,68,20,20,32,20,159,39,109,20,20,41,315,72,35,496,22,64,MED
68,20,143,76,20,745,68,333,20,129,20,181,46,236,20,157,57,34,121,606,67,523,169,40,20,97,579,126,353,38,173,20,25,38,170,77,20,155,45,44,98,339,212,72,35,20,20,20,56,36,76,20,20,22,331,21,20,537,20,35,MED
93,20,57,94,87,956,320,334,70,190,133,147,20,287,20,135,69,44,149,871,56,355,536,25,41,20,1237,124,1080,65,240,20,102,21,299,88,20,239,46,53,91,439,133,90,37,20,40,20,154,47,26,20,20,62,57,169,37,1132,20,61,MED
68,42,37,90,90,984,314,260,41,137,90,250,42,197,20,239,27,45,102,1066,70,363,459,84,31,124,812,91,878,91,254,20,67,39,298,134,20,109,24,32,45,556,234,51,53,20,20,33,127,55,20,20,20,20,131,98,26,715,20,55,MED
63,41,98,132,42,1307,157,304,20,210,135,154,46,225,20,250,64,24,105,568,197,349,128,35,45,119,649,103,676,43,207,20,56,50,261,183,20,130,39,64,87,333,274,64,20,20,20,20,85,46,27,20,20,20,123,32,41,1283,20,68,MED
156,48,132,195,201,571,55,292,51,338,878,286,32,194,109,93,34,32,123,466,195,261,20,30,86,293,70,68,362,136,207,85,24,27,131,170,20,389,32,46,88,1009,444,43,344,20,74,86,64,51,62,20,20,271,231,217,77,305,29,83,MED
132,49,112,165,39,2082,307,254,55,227,223,205,31,181,30,154,46,42,160,746,23,265,701,20,61,143,1032,49,1073,200,302,20,46,59,215,111,20,229,22,38,84,398,447,50,57,20,32,50,396,41,87,20,20,98,277,88,77,616,20,90,MED
