Gene,T-Value for Class RHB
J03191_at,10.7054697572
U79248_at,10.635896802
D42041_at,10.5328268231
D63940_s_at,10.4233824397
Z48950_at,10.2431862868
HG880-HT880_s_at,9.84261375109
M57464_s_at,9.65308046024
M97287_at,9.49400741438
U79271_at,9.46530974725
D79992_at,9.40179411577
S69265_s_at,9.06514693451
U52828_s_at,8.9188922635
M24899_at,8.87394265792
L10373_at,8.86618506681
U95740_rna2_at,8.77021784265
HG3514-HT3708_at,8.73230539484
M81695_s_at,8.70029937059
X54304_at,8.6544677136
U59919_at,8.58822733981
D38437_f_at,8.51243692143
D21267_at,8.39837474278
HG3578-HT3781_at,8.36467930563
U44848_at,8.2523952955
D45248_at,8.21149306472
X04106_at,8.21089777345
L38932_at,8.10325678635
U49973_xpt2_at,8.01358509975
M15881_at,7.86070790107
L06132_at,7.7885847184
D87465_at,7.76438839722
L42374_s_at,7.74633997037
M25667_at,7.66264550093
U33818_at,7.59786208068
X51405_at,7.58997060063
D50370_at,7.56200478599
X77197_at,7.54767415468
D14043_at,7.5148488459
D63851_at,7.50397567211
M58378_cds1_at,7.49099588396
M96980_at,7.4548641121
Y08263_at,7.43085465975
S63912_at,7.34432298063
Z97074_at,7.32817975335
Z23115_at,7.31561812427
Z80788_at,7.2805225245
M59216_s_at,7.26997201006
D87077_at,7.25672356543
M93119_at,7.25569656526
X15187_at,7.25387736796
HG2887-HT3031_r_at,7.24974062635
D25215_at,7.22278629442
L24470_at,7.16463731268
X61072_at,7.14890244215
L77886_at,7.13479764726
M60165_cds1_at,7.10388416103
S76475_at,7.09238169706
HG4109-HT4379_at,7.07037414115
U11717_s_at,7.02641588118
M98539_at,6.99468593576
U52112_rna1_at,6.99087617128
S82024_at,6.97970755377
U43923_at,6.96733380347
X01715_at,6.95141394251
D87742_at,6.95011641615
U27193_at,6.94429555406
U31382_at,6.9059485895
U96136_at,6.87346122887
U60269_cds3_at,6.86923286066
D31890_at,6.86669597476
U01824_at,6.86605536933
M74542_at,6.86141099164
U47621_at,6.83546791021
X14789_at,6.80193425895
Y07604_at,6.79786238464
D50928_at,6.77084342186
U50360_s_at,6.77003473993
L10374_at,6.7261140575
X00090_f_at,6.72315332604
X68090_s_at,6.72031351465
AB000381_s_at,6.71576306479
D79997_at,6.69523637304
S69965_at,6.68470946051
L33930_s_at,6.68139447591
U05012_s_at,6.66790696174
X59812_at,6.64219264199
M96859_at,6.63192353491
M37457_at,6.59554759962
D28532_at,6.58259834371
D87845_at,6.58204666669
M81181_s_at,6.55984438969
M60556_rna2_at,6.55968509844
L23333_s_at,6.53582115873
X54667_s_at,6.52517995532
HG2259-HT2348_s_at,6.4948017867
J02611_at,6.49041858158
L43338_at,6.45476048123
U51336_at,6.44895724548
M14676_at,6.4108137235
D83174_s_at,6.40077240355
U74667_at,6.39660312465
D29675_s_at,6.38870569294
U20285_at,6.37686753399
D25248_at,6.36318272172
D12676_at,6.36072146079
J03915_s_at,6.32216785544
M27691_at,6.31282860726
M23234_s_at,6.29405108972
D49958_at,6.29116767403
U79716_at,6.2867932142
M95712_at,6.28050502276
X99688_at,6.2684793265
X73608_at,6.24309234026
M96954_s_at,6.229328513
HG1595-HT4788_s_at,6.21493264362
Y10313_at,6.20628951676
U84388_at,6.20164741745
Y07596_at,6.19777605487
HG2197-HT2267_s_at,6.19657812228
U14910_at,6.19452687062
M34338_s_at,6.19222719342
X57959_at,6.19115294247
X83863_at,6.18367623467
X63469_at,6.14888105388
S78296_at,6.14481185257
X74301_s_at,6.12924295077
AJ001421_at,6.12635633442
HG613-HT613_at,6.10218787306
X76059_at,6.08389229229
HG3548-HT3749_at,6.0808115562
L39833_at,6.07485287011
X59834_at,6.06956137789
D50405_at,6.06754841815
M17219_at,6.04512099379
U57911_at,6.04090024699
X54673_at,6.01952032784
V00565_s_at,6.01321579427
X98085_at,6.00835523457
U96131_at,5.98259278839
HG2348-HT2444_s_at,5.97437069397
HG945-HT945_s_at,5.94744041179
Y11651_at,5.94238481283
D31766_at,5.93650136666
X63359_at,5.93438194932
U90912_at,5.90931942375
U38810_at,5.88607400791
Z19554_s_at,5.88158021277
X52213_s_at,5.88137391168
D15057_at,5.87201280759
U24153_at,5.86406541531
X95325_s_at,5.86302817149
L07738_at,5.85959539593
J04456_at,5.84600868897
S40719_s_at,5.83857954343
X74104_at,5.83785812615
D89859_at,5.83682805489
M91196_at,5.83595959849
M81057_at,5.81795519659
U79255_at,5.80510553029
U13991_at,5.79831953427
M64108_at,5.79479721378
X89211_at,5.79088089318
U59632_s_at,5.78161010002
X60957_at,5.77671798435
M19645_at,5.77554017731
D87458_at,5.77379285172
HG4113-HT4383_s_at,5.76721948226
X81817_at,5.76509120307
M36341_at,5.7584714501
U90268_at,5.7574326334
U50327_s_at,5.75015040632
U30930_at,5.73985258617
U19878_at,5.73857981732
L32961_at,5.73566766611
M69066_at,5.73403884555
J04173_at,5.73191308002
U72263_s_at,5.72831490524
S80343_at,5.72582654292
U35234_at,5.72361098429
U31342_at,5.71284620442
M93650_at,5.69189667689
Y10615_at,5.691521035
D13900_at,5.68816901021
L07758_at,5.68111505726
D80005_at,5.67775230317
L04282_at,5.67229093932
U78524_at,5.67126482193
U04898_at,5.66638338017
U89278_at,5.66256359447
S66541_s_at,5.65887183716
M55040_at,5.65325448025
U18271_cds3_s_at,5.65120361196
Z26317_at,5.6460041746
X65633_at,5.6447522789
M27819_at,5.639406409
Z29505_at,5.633017519
M96739_at,5.6111323602
X52773_at,5.59670773243
D82347_at,5.59661793614
S82240_at,5.59034112835
M26004_s_at,5.58808160131
M80629_at,5.57568269212
M55284_at,5.57316903231
HG3454-HT3647_at,5.57082818643
X12451_at,5.56777316315
D83779_at,5.55641241571
D00761_at,5.55052989193
HG2264-HT2360_at,5.54489611387
U25034_s_at,5.54249191993
D78151_at,5.5281082625
U51269_at,5.52556778688
U50822_rna1_s_at,5.5207617935
HG3355-HT3532_at,5.52042531433
M61199_at,5.52037048326
X84195_at,5.51878137352
Z21488_at,5.50256192721
M60450_s_at,5.4988744801
U66059_cds7_at,5.49798866283
U11732_at,5.4910126207
X61970_at,5.46467642055
M37485_cds1_at,5.46327916878
X55005_rna1_at,5.46201855406
U31383_at,5.45666633938
D63813_at,5.44645648989
M31520_at,5.44532268426
X17620_at,5.4417777045
U23852_s_at,5.42885150183
M59488_at,5.41935367868
D11094_at,5.41086729105
X06272_at,5.40074032835
X78678_at,5.4004468345
X15376_at,5.39584495886
D14530_at,5.39352576375
D86964_at,5.38717381462
M93283_at,5.38193831096
X69398_at,5.38153161755
U63455_at,5.37745475676
L42563_at,5.36594148276
U49973_xpt1_at,5.35679950368
M62843_at,5.34881831214
D28118_at,5.34235729958
U43965_at,5.34059004114
L34060_at,5.33723121012
U85265_at,5.33655182271
S77812_at,5.33382621967
X05130_s_at,5.33334601235
J00219_s_at,5.33053880503
U29943_s_at,5.31510179059
U76421_at,5.31369649652
M65066_at,5.31143518225
X63755_at,5.30866864716
X99142_at,5.25671735489
X80695_at,5.25623452886
X99975_at,5.25362815852
HG4462-HT4731_at,5.24433444395
U56244_at,5.24023698594
U73377_at,5.23861730241
L31881_at,5.22651914088
L21954_at,5.22616656132
X02152_at,5.21104278915
X55989_rna1_at,5.2060273188
HG4178-HT4448_at,5.20453308442
J04164_at,5.20140811556
X81636_at,5.19699207658
X59727_at,5.17920551216
U20362_at,5.17818669766
HG4020-HT4290_s_at,5.1774462393
X61587_at,5.16068621653
M93405_at,5.16058651029
