Gene,T-Value for Class EPD
L39064_rna1_at,10.4643384852
D83646_at,10.4295452678
M14091_at,10.3156714719
U35340_at,9.97332327266
HG3255-HT3432_at,9.93770774754
M65254_at,9.92477376072
M86528_at,9.49821688719
HG3636-HT3846_at,9.39397505108
U33429_at,9.38740479811
L10377_s_at,9.30074007789
L38707_at,9.22857223734
U16861_at,9.21404843439
X55544_at,9.16414401482
J03930_at,9.11194433169
M10051_s_at,9.09176557871
Z26248_s_at,9.06849799128
J03171_at,9.00548896264
X85237_at,8.93693260482
L10615_s_at,8.88111777921
L77561_at,8.7574115613
HG4108-HT4378_at,8.64993376939
U48408_at,8.64662335964
D14662_at,8.64174969739
M32879_at,8.62465290609
X12453_at,8.6009122021
L76569_at,8.59130627312
U64863_at,8.57894273898
L05148_at,8.57166069208
Z70222_at,8.5189676825
X52011_at,8.47992249766
X04325_at,8.46197382004
U44059_at,8.45720490043
X65633_at,8.42517265302
HG1071-HT1071_at,8.4099043391
HG3884-HT4154_at,8.39985594937
Y13247_at,8.38592327266
M60165_cds1_at,8.37307427058
J00268_s_at,8.35235967833
X66141_at,8.31323178995
U28131_at,8.30355909856
L40411_at,8.27410585616
HG627-HT5097_s_at,8.19782802506
M55422_at,8.18607939376
M96980_at,8.17619685466
X59372_at,8.16523008314
Y11710_rna1_at,8.16207808309
D63882_s_at,8.11903653899
L17327_at,8.11195720109
HG2152-HT2222_at,8.11135975351
D28791_at,8.08390026082
U12139_at,8.01867971746
D14889_at,8.00190352928
M23234_s_at,7.99534004945
L11931_at,7.98801431909
D82326_at,7.97367025214
U15172_at,7.96768381135
L29217_at,7.95753266319
X90761_at,7.95229858176
Z73497_at,7.94784529397
U45975_at,7.94614116798
X76105_at,7.93904733712
D21239_at,7.93461517335
X51417_at,7.92113851125
X58399_at,7.91992743426
M23892_s_at,7.91699537197
M28214_at,7.91589003215
U35234_at,7.91149840541
L05606_at,7.89120885741
L18983_at,7.89059985285
U87964_at,7.85291512752
X81637_at,7.84873126084
U63090_at,7.84504904914
X78416_s_at,7.81942911358
U41763_at,7.81698575672
U52827_at,7.80734341001
X79483_at,7.79008818288
U07000_cds4_at,7.7715330407
HG4099-HT4369_s_at,7.759285899
X60655_at,7.71450542196
HG2936-HT3080_at,7.71408930694
M29037_s_at,7.70211908736
X56654_at,7.69616960638
X90763_at,7.6934321907
M58378_cds1_at,7.66939102125
M22403_s_at,7.65248178512
U07550_at,7.64372970988
HG4113-HT4383_s_at,7.62283357263
L05147_at,7.61916014667
U95626_rna1_at,7.61664031618
X80343_at,7.60342151314
Y11709_at,7.58528700588
HG2059-HT2114_at,7.57687028639
D00763_at,7.57419040064
J04469_at,7.56875729703
X54871_at,7.51306218073
HG3565-HT3768_at,7.51218608128
L11708_at,7.50475391561
M37766_at,7.48829431874
U75968_at,7.48325283032
U16954_at,7.46073958227
X91117_rna1_at,7.45176956344
HG537-HT537_at,7.45021194229
M73481_at,7.43759466809
U06155_at,7.42496233221
L15296_s_at,7.42083347344
HG3987-HT4257_at,7.41768517547
L29277_at,7.39662598044
U49441_at,7.37648283285
D88155_s_at,7.37136163684
M55040_at,7.36308816195
X68314_at,7.36223780853
D86965_at,7.34915526397
D31884_at,7.34327759217
U25975_at,7.30384321727
M61764_at,7.30119907635
L34060_at,7.28876133769
M24902_at,7.28620061015
M33987_at,7.27844340128
H46990_at,7.27756517648
M94547_at,7.27308640744
X73358_s_at,7.27094260215
U05659_at,7.26669193995
HG3063-HT3224_at,7.26571548531
D38502_at,7.26413517916
L36818_at,7.26212597931
L07541_at,7.24926905934
X66079_at,7.2396981369
U40317_s_at,7.23396463783
X61072_at,7.19534035321
L02321_at,7.18510343409
M92269_f_at,7.17367114391
Z71460_at,7.16418764433
HG371-HT1063_s_at,7.1629020325
U28249_at,7.14761729784
M81882_at,7.14604336136
HG2239-HT2324_r_at,7.1459841523
M75099_at,7.1453945244
HG4668-HT5083_s_at,7.14374306334
M60614_at,7.14083919974
D78012_at,7.13907815347
L35475_at,7.1331208311
U70867_at,7.11626741862
M11726_at,7.11393262289
U19557_s_at,7.10813428924
X89960_at,7.10536540609
U66828_s_at,7.10087600334
D49958_at,7.088259679
J03915_s_at,7.08598406655
L19063_at,7.07801693747
X04707_at,7.06249184986
U10685_at,7.06133920499
AB000381_s_at,7.05701714032
U18259_at,7.05502793025
M91196_at,7.05391107846
K03008_cds1_at,7.05345127192
HG3729-HT3999_f_at,7.03558388837
U36621_cds2_at,7.02835443347
X54938_at,7.02784120641
L28175_at,7.0202966096
S78798_s_at,7.01774734436
U11862_s_at,7.00779859954
U47931_at,7.00720142405
X65784_s_at,7.00595484628
U82010_rna1_at,7.00029191055
X06948_at,6.99895654488
HG1804-HT1829_at,6.99863707909
Y08976_at,6.98378403942
U82535_at,6.98204919439
Y12856_at,6.98167013118
HG4333-HT4603_at,6.97760388911
U79245_at,6.97721015663
M11722_at,6.96656088468
M18737_rna1_at,6.96532659009
U82320_at,6.96024404981
X64269_at,6.95409759153
M96944_at,6.94370833268
U85265_at,6.94064973718
U26174_at,6.94028096956
X14789_at,6.93412399785
U91930_at,6.93103057896
U66879_at,6.92537888395
X70040_at,6.92092583761
U16261_at,6.9098361675
U01923_at,6.90330472604
S79873_s_at,6.90247571359
L38025_at,6.89971007474
M19645_at,6.89596513456
J02943_at,6.89566284302
D55643_s_at,6.89508350398
U30930_at,6.89013082823
L42572_at,6.88643606066
J05125_at,6.88622083122
J00139_s_at,6.88062466621
U53476_at,6.88045833708
M69066_at,6.87474070391
L39833_at,6.86955847915
X98261_at,6.86068391636
M68519_rna1_at,6.85124978811
Z29064_at,6.84177488388
U68142_at,6.84046918694
D63390_at,6.8345648698
X99688_at,6.82747732767
X82877_at,6.82328794542
X03363_s_at,6.81195181864
Y07595_at,6.8021238171
U48437_at,6.79904635688
U44848_at,6.79878020017
U65676_at,6.77548096114
U40990_at,6.77066416023
M16652_at,6.7598950407
U17163_at,6.75742619113
M34057_at,6.75687061205
D11139_at,6.75611814865
U66615_at,6.74191524102
U65410_at,6.73455236228
L41668_rna1_at,6.73419059126
M23161_at,6.73174677417
L12052_at,6.73003532175
L25270_at,6.72465059643
M80629_at,6.72386501059
D79996_at,6.71855376106
U19977_at,6.71846866186
X05839_rna1_s_at,6.71807555482
HG2161-HT2231_at,6.71775959177
U79254_at,6.7063417729
D78514_at,6.69974636576
L21893_at,6.6981932138
U46692_rna1_at,6.69149018064
X01715_at,6.68884552777
S80050_at,6.68434242464
U21936_at,6.68386356793
X16354_at,6.68124069898
U05012_s_at,6.6776864969
L78440_at,6.67766681012
Z19554_s_at,6.66802391883
D42138_at,6.6657880052
M91463_rna1_at,6.64851352937
M93119_at,6.64466429642
L18960_at,6.63694402967
X75861_at,6.62942800471
X52213_s_at,6.6123049745
L13197_at,6.59578322457
