Gene,T-Value for Class MED
U16954_at,11.6721500675
M31303_rna1_at,11.1026079431
S82470_at,10.6309908078
U79262_at,10.3965120814
D80004_at,10.210025965
D50310_at,9.78044275464
Z69915_at,9.67913662521
M93119_at,9.67030055663
L36818_at,9.52460832794
U09087_s_at,9.05506801662
L13977_at,8.85783509137
X73358_s_at,8.64524931722
U30521_at,8.46477803253
L48513_at,8.4424529442
D16481_at,8.39502917413
L37792_at,8.37925136892
U65410_at,8.31712871282
U79248_at,8.28049757272
U19878_at,8.24900124441
S82024_at,8.18463962806
U07802_at,8.17330453035
M80629_at,8.13542728859
X70683_at,8.1264129394
U45955_at,8.0537637844
U18271_cds3_s_at,8.04688620503
L11931_at,7.99334274251
D78012_at,7.94766982243
X04828_at,7.94024083194
M16279_at,7.92283258576
U27193_at,7.85068047408
U31383_at,7.82719666624
U48705_rna1_s_at,7.79932218093
M69066_at,7.79644097281
U44378_at,7.72783504634
U49973_xpt2_at,7.69446808757
D55716_at,7.6522395962
M20867_s_at,7.622518951
HG658-HT658_f_at,7.61292590745
U28368_at,7.60436794694
L37043_at,7.59990050947
U61145_at,7.51183569942
S78296_at,7.49128636828
V00599_s_at,7.42552564701
HG1612-HT1612_at,7.38145024976
HG2915-HT3059_f_at,7.36493365233
L25081_at,7.34078102648
M96843_at,7.30351706025
D26069_at,7.26594070892
D14043_at,7.25846738637
X67698_at,7.2279110105
M23254_at,7.19782097518
M37457_at,7.14385276687
X99920_at,7.10998291041
U31382_at,7.07752716561
U47634_at,7.05281195652
HG4011-HT4804_s_at,7.04035582672
U39412_at,7.03943390754
Z84497_s_at,7.02225450097
M60165_cds1_at,7.01817846312
D63506_at,7.01399729212
X56841_at,7.010618341
X75861_at,7.00898400772
S69272_s_at,6.9977839661
HG909-HT909_at,6.95566322678
D14662_at,6.90841474137
M33680_at,6.8987442542
M32886_at,6.8917991717
J03077_s_at,6.88537394926
M14483_rna1_s_at,6.86880014232
HG2917-HT3061_f_at,6.86471299697
X54637_at,6.83566132958
HG3342-HT3519_s_at,6.82248289863
M33764_at,6.76781572406
U38810_at,6.74220981512
M88338_at,6.73672603339
U02570_at,6.73339943084
J03915_s_at,6.71660256856
U04241_at,6.70340571732
S79873_s_at,6.6589602328
J00105_s_at,6.65787104705
M19645_at,6.65744513745
Z23115_at,6.65003408831
D63486_at,6.63689556845
J00219_s_at,6.63159129644
D82347_at,6.60689738313
X52947_at,6.59519153921
D13639_at,6.5883199158
U72661_at,6.58592140598
U53204_at,6.56690087199
U87964_at,6.56460234041
U53003_at,6.51675482948
X62078_at,6.51652120667
X86809_at,6.51343308938
X58521_at,6.51236188897
Y13115_at,6.50987396111
U50822_rna1_s_at,6.5076142587
HG2383-HT4824_s_at,6.4860862482
D14659_at,6.48039173901
M29927_at,6.47832218877
M34065_at,6.4608889516
U44772_at,6.4141548784
D76435_at,6.39838918621
Z73497_at,6.39549853862
Y09305_at,6.38656864098
J03060_at,6.38368346328
X76770_at,6.37060711289
X96783_rna1_at,6.35833542688
L11672_at,6.34269958945
HG3597-HT3800_f_at,6.33807312117
D85181_at,6.31435586214
U29725_at,6.30433628473
U09609_at,6.30158960514
U26266_s_at,6.29981450262
S72008_at,6.28316493452
U77948_at,6.2751064046
M96739_at,6.27068578408
X64044_at,6.24536859341
X78136_at,6.24531355621
D63851_at,6.22720885713
X76057_at,6.1920490019
U90552_s_at,6.18744601358
M38591_at,6.18328342352
U72263_s_at,6.1803860087
M23294_at,6.17952294095
X82207_at,6.17428094749
X57522_at,6.17231068693
M81830_at,6.15244384828
X98248_rna1_at,6.13321869378
X62654_rna1_at,6.11559847546
X12451_at,6.11049013145
X95384_at,6.10870615186
U11037_at,6.10678241069
AF008445_at,6.10389336531
D80005_at,6.09505681733
U46692_rna1_at,6.07931050329
D32129_f_at,6.07446517332
D50405_at,6.0740892882
Z48950_at,6.05249975146
J04501_at,6.04347961018
D49824_s_at,6.04092611881
U09579_at,6.04032059946
X61587_at,6.0351496268
J04088_at,6.03432525138
HG4318-HT4588_s_at,6.02083032833
X67337_at,6.01573518257
X75958_at,6.01405951148
D12676_at,6.0022733117
U81556_at,5.99758518745
AC000064_cds2_at,5.99520145376
U29943_s_at,5.98831111804
D83777_at,5.98640035686
U70862_at,5.98047747031
D49487_s_at,5.97604635379
M22995_at,5.94860790328
Z31560_s_at,5.94014409578
M38690_at,5.922848166
X00274_at,5.91126703001
X69398_at,5.90547864477
U00952_at,5.90068844738
X56465_at,5.89916831971
HG3636-HT3846_at,5.89702007419
U41766_s_at,5.89434510085
U40369_rna1_at,5.88866204009
M84349_at,5.88476635192
U13991_at,5.86285626104
X57351_s_at,5.86127813104
X05409_at,5.86110674534
J02902_at,5.85168815259
M91670_at,5.84796886358
M15395_at,5.84468457004
D64142_at,5.84290079505
U70660_at,5.83686526139
J04543_at,5.83148267237
J03827_at,5.82865525873
M92287_at,5.82463676196
D63878_at,5.80677041293
U50839_at,5.80673057481
D13900_at,5.79582943004
X16135_at,5.79196494528
D87258_at,5.78918993303
U07139_at,5.77822454107
M91029_cds2_at,5.77310354625
X05246_at,5.76157838819
U01691_s_at,5.75395253924
X85237_at,5.75158547859
U16861_at,5.74834246456
HG2707-HT2803_at,5.73740552675
M69039_at,5.73470234953
U30999_at,5.73246019165
U90313_at,5.71620932937
M55422_at,5.71478864312
X55544_at,5.70792565
X56654_at,5.70313089317
L40397_at,5.70011302915
M24486_s_at,5.70002544211
S82240_at,5.69459824815
X69111_at,5.68798813859
X71874_cds1_at,5.6831120372
AB003177_at,5.67367977383
D31887_at,5.66491518162
M76378_at,5.65696753514
D00723_at,5.65618499198
S80562_at,5.65116603347
U70063_at,5.6508104386
M94880_f_at,5.646531215
U23803_at,5.63402543446
Y07909_at,5.63181511266
U00802_s_at,5.63024370399
J04173_at,5.62227911215
M93426_at,5.61977026162
U76421_at,5.59690984506
M34458_rna1_s_at,5.59637179067
D87078_at,5.59121469487
D14658_at,5.59000653164
Z32684_at,5.58672445274
M86934_at,5.58413243245
X78706_at,5.58213808361
U72882_s_at,5.57856220953
M31158_at,5.57634235242
M31013_at,5.56871872896
U12387_s_at,5.56163446009
U11313_at,5.56102297341
M87503_at,5.56093256296
U13022_at,5.55361623885
L19183_at,5.54184730537
U30255_at,5.53796105926
X57351_at,5.53658648419
D26443_at,5.53000626768
L20852_at,5.5274818834
U20758_rna1_at,5.52578367233
U30998_at,5.52302714043
D25217_at,5.51697122717
U15655_at,5.51655965221
Z56281_at,5.50304788397
L20298_at,5.4998096009
Z19554_s_at,5.47673151545
U63295_at,5.47512789371
U56418_at,5.46567562438
U85611_at,5.46478229869
M13560_s_at,5.46326663404
U69140_s_at,5.45851018952
M58286_s_at,5.45558277888
U24266_at,5.45264947886
Z26491_s_at,5.44714699546
M77142_at,5.44445876785
HG37-HT37_at,5.43858585402
X63563_at,5.43718297981
U58681_at,5.4370842324
U16306_at,5.43177174388
U89278_at,5.43075413732
HG3494-HT3688_at,5.42432378717
X13916_at,5.42196431189
S76475_at,5.41284627419
U19345_at,5.40967257816
U52101_at,5.4028392131
S69265_s_at,5.39578281558
U03057_at,5.39501907918
L08895_at,5.38997110384
U77604_at,5.38938466971
U06681_at,5.38924635788
X68194_at,5.38840681082
L35263_at,5.38102546533
X87176_at,5.37965286672
S78187_at,5.37714941415
X57206_at,5.37675265618
L37362_at,5.37432425802
U09411_at,5.36742729157
U17838_at,5.3671201165
M27891_at,5.35779552293
Z48481_at,5.35711348779
U40223_at,5.34730393808
X86693_at,5.34720901396
U63842_at,5.34098873339
U62801_at,5.33972934232
U06155_at,5.33926076769
M14091_at,5.32864036314
X00090_f_at,5.3263197208
U58334_at,5.32558459192
U47414_at,5.32388490036
X03100_cds2_at,5.31903353643
U60975_at,5.31228234053
L15440_at,5.3119636526
D26156_s_at,5.31194746188
L19605_at,5.30572120686
M82919_at,5.29404202562
M57710_at,5.28624906996
M37457_s_at,5.28438020248
U60061_at,5.28113851685
Z50022_at,5.27261561179
HG2788-HT2896_at,5.26734841967
U46751_at,5.26312382876
M14338_at,5.26302618857
Y07566_at,5.25991816554
D87443_at,5.25818936721
X15376_at,5.25752051992
J04456_at,5.2565088401
U12255_at,5.25174972935
D87440_at,5.24558813171
D16217_at,5.24557926926
U95040_at,5.23981158533
U75362_at,5.23892867396
HG417-HT417_s_at,5.23834424455
X60003_s_at,5.23323068486
U83463_at,5.22699920875
X15525_rna1_at,5.22356368815
